Last	JJ	last
year	NN	year
,	,	,
I	PP	I
got	VBD	get
a	DT	a
chance	NN	chance
to	TO	to
watch	VB	watch
the	DT	the
new	JJ	new
"	``	"
Star	NP	Star
Wars	NPS	Wars
"	''	"
movie	NN	movie
,	,	,
which	WDT	which
was	VBD	be
fantastic	JJ	fantastic
,	,	,
but	CC	but
one	CD	one
thing	NN	thing
kept	VBD	keep
bugging	VBG	bug
me	PP	me
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
you	PP	you
noticed	VBD	notice
this	DT	this
or	CC	or
not	RB	not
.	SENT	.
In	IN	in
this	DT	this
entirely	RB	entirely
technically	RB	technically
advanced	JJ	advanced
world	NN	world
,	,	,
I	PP	I
did	VBD	do
not	RB	not
see	VB	see
a	DT	a
single	JJ	single
AED	NN	AED
anywhere	RB	anywhere
,	,	,
which	WDT	which
was	VBD	be
totally	RB	totally
shocking	JJ	shocking
â	NP	<unknown>
almost	RB	almost
as	RB	as
shocking	JJ	shocking
as	IN	as
not	RB	not
knowing	VBG	know
what	WP	what
an	DT	an
AED	NN	AED
is	VBZ	be
,	,	,
which	WDT	which
you	PP	you
guys	NNS	guy
do	VBP	do
know	VB	know
.	SENT	.
But	CC	but
for	IN	for
those	DT	those
at	IN	at
home	NN	home
,	,	,
an	DT	an
AED	NP	AED
is	VBZ	be
an	DT	an
automated	JJ	automated
external	JJ	external
defibrillator	NN	defibrillator
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
device	NN	device
you	PP	you
use	VBP	use
when	WRB	when
your	PP$	your
heart	NN	heart
goes	VBZ	go
into	IN	into
cardiac	JJ	cardiac
arrest	NN	arrest
to	TO	to
shock	VB	shock
it	PP	it
back	RB	back
into	IN	into
a	DT	a
normal	JJ	normal
rhythm	NN	rhythm
,	,	,
or	CC	or
,	,	,
as	IN	as
one	CD	one
of	IN	of
the	DT	the
guys	NNS	guy
I	PP	I
was	VBD	be
teaching	VBG	teach
a	DT	a
class	NN	class
to	TO	to
referred	VBN	refer
to	TO	to
it	PP	it
as	RB	as
:	:	:
"	``	"
The	DT	the
shocky-hearty-box	NN	<unknown>
thing	NN	thing
.	SENT	.
"	``	"
But	CC	but
I	PP	I
really	RB	really
can	MD	can
'	''	'
t	NN	t
blame	VB	blame
the	DT	the
Empire	NN	empire
,	,	,
since	IN	since
health	NN	health
and	CC	and
safety	NN	safety
regulations	NNS	regulation
aren	NNS	<unknown>
'	POS	'
t	NN	t
really	RB	really
their	PP$	their
first	JJ	first
order	NN	order
of	IN	of
business	NN	business
.	SENT	.
Though	RB	though
,	,	,
even	RB	even
if	IN	if
we	PP	we
â	NP	<unknown>
I	PP	I
think	VBP	think
worse	JJR	bad
than	IN	than
not	RB	not
having	VBG	have
an	DT	an
AED	NP	AED
would	MD	would
be	VB	be
if	IN	if
there	EX	there
was	VBD	be
one	CD	one
there	RB	there
,	,	,
but	CC	but
just	RB	just
,	,	,
no	DT	no
one	CD	one
knew	VBD	know
where	WRB	where
to	TO	to
find	VB	find
it	PP	it
.	SENT	.
These	DT	these
devices	NNS	device
can	MD	can
drastically	RB	drastically
increase	VB	increase
your	PP$	your
chance	NN	chance
of	IN	of
survival	NN	survival
â	NP	<unknown>
almost	RB	almost
like	IN	like
a	DT	a
tauntaun	NN	<unknown>
on	IN	on
Hoth	NP	Hoth
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
m	NN	m
pretty	RB	pretty
sure	JJ	sure
that	IN	that
stormtrooper	NN	stormtrooper
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
toast	NN	toast
,	,	,
regardless	RB	regardless
if	IN	if
we	PP	we
have	VBP	have
an	DT	an
AED	JJ	<unknown>
or	CC	or
not	RB	not
,	,	,
since	IN	since
what	WP	what
happens	VBZ	happen
is	VBZ	be
the	DT	the
chest	NN	chest
plate	NN	plate
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
quite	RB	quite
hard	JJ	hard
to	TO	to
get	VB	get
off	RP	off
,	,	,
and	CC	and
like	IN	like
that	DT	that
tauntaun	NN	<unknown>
,	,	,
the	DT	the
AED	NP	AED
has	VBZ	have
a	DT	a
very	RB	very
short	JJ	short
window	NN	window
of	IN	of
time	NN	time
at	IN	at
which	WDT	which
it	PP	it
'	POS	'
s	NN	S
highly	RB	highly
effective	JJ	effective
.	SENT	.
In	IN	in
this	DT	this
case	NN	case
â	NP	<unknown>
basically	RB	basically
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
use	VB	use
it	PP	it
within	IN	within
the	DT	the
first	JJ	first
10	CD	@card@
minutes	NNS	minute
.	SENT	.
The	DT	the
Jedi	NP	Jedi
,	,	,
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
have	VBP	have
no	DT	no
problems	NNS	problem
with	IN	with
their	PP$	their
outfits	NNS	outfit
.	SENT	.
Those	DT	those
robes	NNS	robe
open	VBP	open
straight	RB	straight
up	RB	up
,	,	,
you	PP	you
can	MD	can
place	VB	place
the	DT	the
pads	NNS	pad
right	RB	right
onto	IN	onto
the	DT	the
chest	NN	chest
â	NP	<unknown>
so	IN	so
upper-	NN	upper-
right-hand	JJ	right-hand
side	NN	side
of	IN	of
the	DT	the
chest	NN	chest
,	,	,
lower	RBR	lower
left	VBN	leave
,	,	,
wait	VB	wait
for	IN	for
the	DT	the
unit	NN	unit
to	TO	to
determine	VB	determine
if	IN	if
it	PP	it
'	POS	'
s	NN	S
a	DT	a
shockable	JJ	shockable
rhythm	NN	rhythm
and	CC	and
get	VB	get
ready	JJ	ready
to	TO	to
shock	VB	shock
.	SENT	.
But	CC	but
,	,	,
the	DT	the
Jedi	NP	Jedi
do	VBP	do
have	VB	have
a	DT	a
problem	NN	problem
.	SENT	.
They	PP	they
have	VBP	have
a	DT	a
head	NN	head
appendage	NN	appendage
issue	NN	issue
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
can	MD	can
be	VB	be
totally	RB	totally
clear	JJ	clear
,	,	,
thinking	VBG	think
I	PP	I
'	POS	'
m	NN	m
ready	JJ	ready
to	TO	to
go	VB	go
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
accidentally	RB	accidentally
touching	VBG	touch
a	DT	a
tentacle	NN	tentacle
and	CC	and
inadvertently	RB	inadvertently
shocking	VBG	shock
myself	PP	myself
.	SENT	.
So	RB	so
before	IN	before
you	PP	you
hit	VBD	hit
that	DT	that
button	NN	button
,	,	,
make	VBP	make
sure	RB	sure
you	PP	you
are	VBP	be
clear	JJ	clear
and	CC	and
everyone	NN	everyone
else	RB	else
is	VBZ	be
clear	JJ	clear
.	SENT	.
Going	VBG	go
back	RB	back
to	TO	to
that	DT	that
stormtrooper	NN	stormtrooper
:	:	:
If	IN	if
I	PP	I
did	VBD	do
get	VB	get
that	DT	that
chest	NN	chest
plate	NN	plate
off	RB	off
in	IN	in
time	NN	time
,	,	,
what	WP	what
would	MD	would
you	PP	you
do	VB	do
if	IN	if
you	PP	you
suddenly	RB	suddenly
found	VBD	find
there	EX	there
was	VBD	be
a	DT	a
Wookiee	NP	<unknown>
under	IN	under
there	RB	there
,	,	,
or	CC	or
possibly	RB	possibly
two	CD	two
Ewoks	NNS	<unknown>
?	SENT	?
Well	RB	well
,	,	,
lucky	JJ	lucky
for	IN	for
us	PP	us
,	,	,
in	IN	in
the	DT	the
kit	NN	kit
there	RB	there
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
razor	NN	razor
,	,	,
and	CC	and
we	PP	we
can	MD	can
use	VB	use
that	IN	that
to	TO	to
shave	VB	shave
the	DT	the
chest	NN	chest
on	IN	on
the	DT	the
upper	JJ	upper
right-hand	JJ	right-hand
side	NN	side
and	CC	and
the	DT	the
lower	JJR	low
left	NN	left
.	SENT	.
Wookiees	NNS	<unknown>
also	RB	also
have	VBP	have
another	DT	another
problem	NN	problem
.	SENT	.
They	PP	they
have	VBP	have
an	DT	an
accessory	JJ	accessory
issue	NN	issue
.	SENT	.
What	WP	what
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
is	VBZ	be
remove	VB	remove
these	DT	these
â	NP	<unknown>
anything	NN	anything
between	IN	between
the	DT	the
two	CD	two
pads	NNS	pad
we	PP	we
want	VBP	want
to	TO	to
remove	VB	remove
,	,	,
since	IN	since
it	PP	it
can	MD	can
cause	VB	cause
something	NN	something
called	VBN	call
"	``	"
arcing	VBG	arc
.	SENT	.
"	''	"
For	IN	for
those	DT	those
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
arcing	VBG	arc
is	VBZ	be
,	,	,
do	VB	do
you	PP	you
remember	VB	remember
the	DT	the
Emperor	NN	emperor
,	,	,
when	WRB	when
he	PP	he
shoots	VBZ	shoot
electricity	NN	electricity
out	IN	out
the	DT	the
ends	NNS	end
of	IN	of
his	PP$	his
fingers	NNS	finger
â	NP	<unknown>
that	WDT	that
would	MD	would
be	VB	be
kind	JJ	kind
of	IN	of
like	IN	like
arcing	VBG	arc
.	SENT	.
Another	DT	another
thing	NN	thing
that	IN	that
â	NP	<unknown>
Oh	NP	Oh
!	SENT	!
By	IN	by
the	DT	the
way	NN	way
,	,	,
he	PP	he
creates	VBZ	create
that	IN	that
by	IN	by
wearing	VBG	wear
wool	NN	wool
socks	NNS	sock
under	IN	under
his	PP$	his
robes	NNS	robe
.	SENT	.
We	PP	we
can	MD	can
also	RB	also
get	VB	get
arcing	VBG	arc
if	IN	if
we	PP	we
have	VBP	have
an	DT	an
extremely	RB	extremely
wet	JJ	wet
chest	NN	chest
.	SENT	.
The	DT	the
electricity	NN	electricity
travels	VBZ	travel
across	IN	across
the	DT	the
surface	NN	surface
instead	RB	instead
of	IN	of
through	IN	through
the	DT	the
heart	NN	heart
.	SENT	.
We	PP	we
can	MD	can
correct	VB	correct
this	DT	this
with	IN	with
the	DT	the
immortal	JJ	immortal
words	NNS	word
of	IN	of
Douglas	NP	Douglas
Adams	NP	Adams
:	:	:
"	``	"
Don	NP	Don
'	POS	'
t	NN	t
panic	NN	panic
,	,	,
"	''	"
which	WDT	which
most	JJS	most
of	IN	of
us	PP	us
have	VBP	have
done	VBN	do
today	NN	today
â	NP	<unknown>
and	CC	and
also	RB	also
always	RB	always
having	VBG	have
a	DT	a
towel	NN	towel
.	SENT	.
So	RB	so
,	,	,
good	JJ	good
words	NNS	word
to	TO	to
go	VB	go
by	IN	by
.	SENT	.
The	DT	the
metal	NN	metal
bikini	NN	bikini
â	NP	<unknown>
unfortunately	RB	unfortunately
,	,	,
this	DT	this
is	VBZ	be
where	WRB	where
panic	NN	panic
sets	NNS	set
in	IN	in
â	NP	<unknown>
like	IN	like
the	DT	the
modern	JJ	modern
bra	NN	bra
,	,	,
we	PP	we
have	VBP	have
to	TO	to
make	VB	make
sure	RB	sure
we	PP	we
remove	VB	remove
,	,	,
because	IN	because
this	DT	this
can	MD	can
cause	VB	cause
severe	JJ	severe
arcing	VBG	arc
along	RP	along
