So	RB	so
,	,	,
my	PP$	my
question	NN	question
:	:	:
are	VBP	be
we	PP	we
alone	RB	alone
?	SENT	?
The	DT	the
story	NN	story
of	IN	of
humans	NNS	human
is	VBZ	be
the	DT	the
story	NN	story
of	IN	of
ideas	NNS	idea
â	NP	<unknown>
scientific	JJ	scientific
ideas	NNS	idea
that	WDT	that
shine	VBP	shine
light	NN	light
into	IN	into
dark	JJ	dark
corners	NNS	corner
,	,	,
ideas	NNS	idea
that	IN	that
we	PP	we
embrace	VB	embrace
rationally	RB	rationally
and	CC	and
irrationally	RB	irrationally
,	,	,
ideas	NNS	idea
for	IN	for
which	WDT	which
we	PP	we
'	POS	'
ve	NN	ve
lived	VBD	live
and	CC	and
died	VBD	die
and	CC	and
killed	VBD	kill
and	CC	and
been	VBN	be
killed	VBN	kill
,	,	,
ideas	NNS	idea
that	WDT	that
have	VBP	have
vanished	VBN	vanish
in	IN	in
history	NN	history
,	,	,
and	CC	and
ideas	NNS	idea
that	WDT	that
have	VBP	have
been	VBN	be
set	VBN	set
in	IN	in
dogma	NN	dogma
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
story	NN	story
of	IN	of
nations	NNS	nation
,	,	,
of	IN	of
ideologies	NNS	ideology
,	,	,
of	IN	of
territories	NNS	territory
,	,	,
and	CC	and
of	IN	of
conflicts	NNS	conflict
among	IN	among
them	PP	them
.	SENT	.
But	CC	but
,	,	,
every	DT	every
moment	NN	moment
of	IN	of
human	JJ	human
history	NN	history
,	,	,
from	IN	from
the	DT	the
Stone	NP	Stone
Age	NP	Age
to	TO	to
the	DT	the
Information	NP	Information
Age	NP	Age
,	,	,
from	IN	from
Sumer	NP	<unknown>
and	CC	and
Babylon	NP	Babylon
to	TO	to
the	DT	the
iPod	NN	<unknown>
and	CC	and
celebrity	NN	celebrity
gossip	NN	gossip
,	,	,
they	PP	they
'	POS	'
ve	NN	ve
all	RB	all
been	VBN	be
carried	VBN	carry
out	IN	out
â	NP	<unknown>
every	DT	every
book	NN	book
that	IN	that
you	PP	you
'	POS	'
ve	NNS	<unknown>
read	VBP	read
,	,	,
every	DT	every
poem	NN	poem
,	,	,
every	DT	every
laugh	NN	laugh
,	,	,
every	DT	every
tear	VB	tear
â	NP	<unknown>
they	PP	they
'	POS	'
ve	NN	ve
all	RB	all
happened	VBD	happen
here	RB	here
.	SENT	.
Here	RB	here
.	SENT	.
Here	RB	here
.	SENT	.
Here	RB	here
.	SENT	.
Perspective	NP	Perspective
is	VBZ	be
a	DT	a
very	RB	very
powerful	JJ	powerful
thing	NN	thing
.	SENT	.
Perspectives	NNS	perspective
can	MD	can
change	VB	change
.	SENT	.
Perspectives	NNS	perspective
can	MD	can
be	VB	be
altered	VBN	alter
.	SENT	.
From	IN	from
my	PP$	my
perspective	NN	perspective
,	,	,
we	PP	we
live	VBP	live
on	IN	on
a	DT	a
fragile	JJ	fragile
island	NN	island
of	IN	of
life	NN	life
,	,	,
in	IN	in
a	DT	a
universe	NN	universe
of	IN	of
possibilities	NNS	possibility
.	SENT	.
For	IN	for
many	JJ	many
millennia	NNS	millennium
,	,	,
humans	NNS	human
have	VBP	have
been	VBN	be
on	IN	on
a	DT	a
journey	NN	journey
to	TO	to
find	VB	find
answers	NNS	answer
,	,	,
answers	NNS	answer
to	TO	to
questions	NNS	question
about	IN	about
naturalism	NN	naturalism
and	CC	and
transcendence	NN	transcendence
,	,	,
about	IN	about
who	WP	who
we	PP	we
are	VBP	be
and	CC	and
why	WRB	why
we	PP	we
are	VBP	be
,	,	,
and	CC	and
of	IN	of
course	NN	course
,	,	,
who	WP	who
else	RB	else
might	MD	might
be	VB	be
out	RB	out
there	RB	there
.	SENT	.
Is	VBZ	be
it	PP	it
really	RB	really
just	RB	just
us	PP	us
?	SENT	?
Are	VBP	be
we	PP	we
alone	RB	alone
in	IN	in
this	DT	this
vast	JJ	vast
universe	NN	universe
of	IN	of
energy	NN	energy
and	CC	and
matter	NN	matter
and	CC	and
chemistry	NN	chemistry
and	CC	and
physics	NN	physics
?	SENT	?
Well	RB	well
,	,	,
if	IN	if
we	PP	we
are	VBP	be
,	,	,
it	PP	it
'	POS	'
s	NN	S
an	DT	an
awful	JJ	awful
waste	NN	waste
of	IN	of
space	NN	space
.	SENT	.
But	CC	but
,	,	,
what	WP	what
if	IN	if
we	PP	we
'	POS	'
re	NN	re
not	RB	not
?	SENT	?
What	WP	what
if	IN	if
,	,	,
out	RB	out
there	RB	there
,	,	,
others	NNS	other
are	VBP	be
asking	VBG	ask
and	CC	and
answering	VBG	answer
similar	JJ	similar
questions	NNS	question
?	SENT	?
What	WP	what
if	IN	if
they	PP	they
look	VBP	look
up	RP	up
at	IN	at
the	DT	the
night	NN	night
sky	NN	sky
,	,	,
at	IN	at
the	DT	the
same	JJ	same
stars	NNS	star
,	,	,
but	CC	but
from	IN	from
the	DT	the
opposite	JJ	opposite
side	NN	side
?	SENT	?
