15 @card@
years year
ago ago
, ,
I i
volunteered volunteer
to to
participate participate
in in
a a
research research
study study
that that
involved involve
a a
genetic genetic
test test
. .
When when
I i
arrived arrive
at at
the the
clinic clinic
to to
be be
tested test
, ,
I i
was be
handed hand
a a
questionnaire questionnaire
. .
One one
of of
the the
very very
first first
questions question
asked ask
me me
to to
check check
a a
box box
for for
my my
race race
: :
White white
, ,
black black
, ,
Asian asian
, ,
or or
Native native
American american
. .
I i
wasn wasn
' '
t t
quite quite
sure sure
how how
to to
answer answer
the the
question question
. .
Was be
it it
aimed aim
at at
measuring measure
the the
diversity diversity
of of
research research
participants participant
' '
social social
backgrounds background
? ?
In in
that that
case case
, ,
I i
would would
answer answer
with with
my my
social social
identity identity
, ,
and and
check check
the the
box box
for for
" "
black black
. .
" "
But but
what what
if if
the the
researchers researcher
were be
interested interested
in in
investigating investigate
some some
association association
between between
ancestry ancestry
and and
the the
risk risk
for for
certain certain
genetic genetic
traits trait
? ?
In in
that that
case case
, ,
wouldn wouldn
' '
t t
they they
want want
to to
know know
something something
about about
my my
ancestry ancestry
, ,
which which
is be
just just
as as
much much
European european
as as
African african
? ?
And and
how how
could could
they they
make make
scientific scientific
findings finding
about about
my my
genes gene
if if
I i
put put
down down
my my
social social
identity identity
as as
a a
black black
woman woman
? ?
After after
all all
, ,
I i
consider consider
myself myself
a a
black black
woman woman
with with
a a
white white
father father
rather rather
than than
a a
white white
woman woman
with with
a a
black black
mother mother
entirely entirely
for for
social social
reasons reason
. .
Which which
racial racial
identity identity
I i
check check
has have
nothing nothing
to to
do do
with with
my my
genes gene
. .
Well well
, ,
despite despite
the the
obvious obvious
importance importance
of of
this this
question question
to to
the the
study study
' '
s s
scientific scientific
validity validity
, ,
I i
was be
told tell
, ,
" "
Don don
' '
t t
worry worry
about about
it it
, ,
just just
put put
down down
however however
you you
identify identify
yourself yourself
. .
" "
So so
I i
check check
" "
black black
, ,
" "
but but
I i
had have
no no
confidence confidence
in in
the the
results result
of of
a a
study study
that that
treated treat
a a
critical critical
variable variable
so so
unscientifically unscientifically
. .
That that
personal personal
experience experience
with with
the the
use use
of of
race race
in in
genetic genetic
testing testing
got get
me me
thinking think
: :
Where where
else else
in in
medicine medicine
is be
race race
used use
to to
make make
false false
biological biological
predictions prediction
? ?
Well well
, ,
I i
found find
out out
that that
race race
runs run
deeply deeply
throughout throughout
all all
of of
medical medical
practice practice
. .
It it
shapes shape
physicians physician
' '
diagnoses diagnosis
, ,
measurements measurement
, ,
treatments treatment
, ,
prescriptions prescription
, ,
even even
the the
very very
definition definition
of of
diseases disease
. .
And and
the the
more more
I i
found find
out out
, ,
the the
more more
disturbed disturbed
I i
became become
. .
Sociologists sociologist
like like
me me
have have
long long
explained explain
that that
race race
is be
a a
social social
construction construction
. .
When when
we we
identify identify
people people
as as
black black
, ,
white white
, ,
Asian asian
, ,
Native native
American american
, ,
Latina latina
, ,
we we
' '
re re
referring refer
to to
social social
groupings grouping
with with
made make
up up
demarcations demarcation
that that
have have
changed change
over over
time time
and and
vary vary
around around
the the
world world
. .
As as
a a
legal legal
scholar scholar
, ,
I i
' '
ve ve
also also
studied study
how how
lawmakers lawmaker
, ,
not not
biologists biologist
