Hi hi
. .
I i
' '
m m
going go
to to
talk talk
to to
you you
today today
about about
laughter laughter
, ,
and and
I i
just just
want want
to to
start start
by by
thinking think
about about
the the
first first
time time
I i
can can
ever ever
remember remember
noticing notice
laughter laughter
. .
This this
is be
when when
I i
was be
a a
little little
girl girl
. .
I i
would would
' '
ve ve
been be
about about
six six
. .
And and
I i
came come
across across
my my
parents parent
doing do
something something
unusual unusual
, ,
where where
they they
were be
laughing laugh
. .
They they
were be
laughing laugh
very very
, ,
very very
hard hard
. .
They they
were be
lying lie
on on
the the
floor floor
laughing laugh
. .
They they
were be
screaming scream
with with
laughter laughter
. .
I i
did do
not not
know know
what what
they they
were be
laughing laugh
at at
, ,
but but
I i
wanted want
in in
. .
I i
wanted want
to to
be be
part part
of of
that that
, ,
and and
I i
kind kind
of of
sat sit
around around
at at
the the
edge edge
going go
, ,
" "
Hoo hoo
hoo hoo
! !
" "
Now now
, ,
incidentally incidentally
, ,
what what
they they
were be
laughing laugh
at at
was be
a a
song song
which which
people people
used use
to to
sing sing
, ,
which which
was be
based base
around around
signs sign
in in
toilets toilet
on on
trains train
telling tell
you you
what what
you you
could could
and and
could could
not not
do do
in in
toilets toilet
on on
trains train
. .
And and
the the
thing thing
you you
have have
to to
remember remember
about about
the the
English english
is be
, ,
of of
course course
, ,
we we
do do
have have
an an
immensely immensely
sophisticated sophisticated
sense sense
of of
humor humor
. .
At at
the the
time time
, ,
though though
, ,
I i
didn didn
' '
t t
understand understand
anything anything
of of
that that
. .
I i
just just
cared care
about about
the the
laughter laughter
, ,
and and
actually actually
, ,
as as
a a
neuroscientist neuroscientist
, ,
I i
' '
ve ve
come come
to to
care care
about about
it it
again again
. .
And and
it it
is be
a a
really really
weird weird
thing thing
to to
do do
. .
What what
I i
' '
m m
going go
to to
do do
now now
is be
just just
play play
some some
examples example
of of
real real
human human
beings being
laughing laugh
, ,
and and
I i
want want
you you
think think
about about
the the
sound sound
people people
make make
and and
how how
odd odd
that that
can can
be be
, ,
and and
in in
fact fact
how how
primitive primitive
laughter laughter
is be
as as
a a
sound sound
. .
It it
' '
s s
much much
more more
like like
an an
animal animal
call call
than than
it it
is be
like like
speech speech
. .
So so
here here
we we
' '
ve ve
got get
some some
laughter laughter
for for
you you
. .
The the
first first
one one
is be
pretty pretty
joyful joyful
. .
Now now
this this
next next
guy guy
, ,
I i
need need
him him
to to
breathe breathe
. .
There there
' '
s s
a a
point point
in in
there there
where where
I i
' '
m m
just just
, ,
like like
, ,
you you
' '
ve ve
got get
to to
get get
some some
air air
in in
there there
, ,
mate mate
, ,
because because
he he
just just
sounds sound
like like
he he
' '
s s
breathing breathe
out out
. .
This this
hasn hasn
' '
t t
been be
edited edit
; ;
this this
is be
him him
. .
And and
finally finally
we we
have have
— -
this this
is be
a a
human human
female female
laughing laugh
. .
And and
laughter laughter
can can
take take
us us
to to
some some
pretty pretty
odd odd
places place
in in
terms term
of of
making make
noises noise
. .
She she
actually actually
says say
, ,
" "
Oh oh
my my
God god
, ,
what what
is be
that that
? ?
" "
in in
French french
. .
We we
' '
re re
all all
kind kind
of of
with with
her her
. .
I i
have have
no no
idea idea
. .
Now now
, ,
to to
understand understand
laughter laughter
, ,
you you
have have
to to
look look
at at
a a
part part
of of
the the
body body
that that
psychologists psychologist
and and
neuroscientists neuroscientist
don don
' '
t t
normally normally
spend spend
much much
time time
looking look
at at
, ,
which which
is be
the the
ribcage ribcage
, ,
and and
it it
doesn doesn
' '
t t
seem seem
terribly terribly
exciting exciting
, ,
but but
actually actually
you you
' '
re re
all all
using use
your your
ribcage ribcage
all all
the the
time time
. .
What what
you you
' '
re re
all all
doing do
at at
the the
moment moment
with with
your your
ribcage ribcage
, ,
and and
don don
' '
t t
stop stop
doing do
it it
, ,
is be
breathing breathe
. .
So so
you you
use use
the the
intercostal intercostal
muscles muscle
, ,
the the
muscles muscle
between between
your your
ribs rib
, ,
to to
bring bring
air air
in in
and and
out out
of of
your your
lungs lung
just just
by by
expanding expand
and and
contracting contract
your your
ribcage ribcage
, ,
and and
if if
I i
was be
to to
put put
a a
strap strap
around around
the the
outside outside
of of
your your
chest chest
called call
a a
breath breath
belt belt
, ,
and and
just just
look look
at at
that that
movement movement
, ,
you you
see see
a a
rather rather
gentle gentle
