Well	RB	well
,	,	,
you	PP	you
know	VBP	know
,	,	,
sometimes	RB	sometimes
the	DT	the
most	RBS	most
important	JJ	important
things	NNS	thing
come	VBN	come
in	IN	in
the	DT	the
smallest	JJS	small
packages	NNS	package
.	SENT	.
I	PP	I
am	VBP	be
going	VBG	go
to	TO	to
try	VB	try
to	TO	to
convince	VB	convince
you	PP	you
,	,	,
in	IN	in
the	DT	the
15	CD	@card@
minutes	NNS	minute
I	PP	I
have	VBP	have
,	,	,
that	IN	that
microbes	NNS	microbe
have	VBP	have
a	DT	a
lot	NN	lot
to	TO	to
say	VB	say
about	IN	about
questions	NNS	question
such	JJ	such
as	IN	as
,	,	,
"	``	"
Are	VBP	be
we	PP	we
alone	RB	alone
?	SENT	?
"	``	"
and	CC	and
they	PP	they
can	MD	can
tell	VB	tell
us	PP	us
more	JJR	more
about	IN	about
not	RB	not
only	JJ	only
life	NN	life
in	IN	in
our	PP$	our
solar	JJ	solar
system	NN	system
but	CC	but
also	RB	also
maybe	RB	maybe
beyond	IN	beyond
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
I	PP	I
am	VBP	be
tracking	VBG	track
them	PP	them
down	RP	down
in	IN	in
the	DT	the
most	RBS	most
impossible	JJ	impossible
places	NNS	place
on	IN	on
Earth	NP	Earth
,	,	,
in	IN	in
extreme	JJ	extreme
environments	NNS	environment
where	WRB	where
conditions	NNS	condition
are	VBP	be
really	RB	really
pushing	VBG	push
them	PP	them
to	TO	to
the	DT	the
brink	NN	brink
of	IN	of
survival	NN	survival
.	SENT	.
Actually	RB	actually
,	,	,
sometimes	RB	sometimes
me	PP	me
too	RB	too
,	,	,
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
follow	VB	follow
them	PP	them
too	RB	too
close	JJ	close
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
:	:	:
We	PP	we
are	VBP	be
the	DT	the
only	JJ	only
advanced	JJ	advanced
civilization	NN	civilization
in	IN	in
the	DT	the
solar	JJ	solar
system	NN	system
,	,	,
but	CC	but
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
that	IN	that
there	EX	there
is	VBZ	be
no	DT	no
microbial	JJ	microbial
life	NN	life
nearby	RB	nearby
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
planets	NNS	planet
and	CC	and
moons	NNS	moon
you	PP	you
see	VBP	see
here	RB	here
could	MD	could
host	VB	host
life	NN	life
—	:	-
all	DT	all
of	IN	of
them	PP	them
—	:	-
and	CC	and
we	PP	we
know	VBP	know
that	IN	that
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
strong	JJ	strong
possibility	NN	possibility
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
find	VB	find
life	NN	life
on	IN	on
those	DT	those
moons	NNS	moon
and	CC	and
planets	NNS	planet
,	,	,
then	RB	then
we	PP	we
would	MD	would
answer	VB	answer
questions	NNS	question
such	JJ	such
as	RB	as
,	,	,
are	VBP	be
we	PP	we
alone	RB	alone
in	IN	in
the	DT	the
solar	JJ	solar
system	NN	system
?	SENT	?
Where	WRB	where
are	VBP	be
we	PP	we
coming	VBG	come
from	IN	from
?	SENT	?
Do	VB	do
we	PP	we
have	VBP	have
family	NN	family
in	IN	in
the	DT	the
neighborhood	NN	neighborhood
?	SENT	?
Is	VBZ	be
there	RB	there
life	NN	life
beyond	IN	beyond
our	PP$	our
solar	JJ	solar
system	NN	system
?	SENT	?
And	CC	and
we	PP	we
can	MD	can
ask	VB	ask
all	PDT	all
those	DT	those
questions	NNS	question
because	IN	because
there	EX	there
has	VBZ	have
been	VBN	be
a	DT	a
revolution	NN	revolution
in	IN	in
our	PP$	our
understanding	NN	understanding
of	IN	of
what	WP	what
a	DT	a
habitable	JJ	habitable
planet	NN	planet
is	VBZ	be
,	,	,
and	CC	and
today	NN	today
,	,	,
a	DT	a
habitable	JJ	habitable
planet	NN	planet
is	VBZ	be
a	DT	a
planet	NN	planet
that	WDT	that
has	VBZ	have
a	DT	a
zone	NN	zone
where	WRB	where
water	NN	water
can	MD	can
stay	VB	stay
stable	JJ	stable
,	,	,
but	CC	but
to	TO	to
me	PP	me
this	DT	this
is	VBZ	be
a	DT	a
horizontal	JJ	horizontal
definition	NN	definition
of	IN	of
habitability	NN	habitability
,	,	,
because	IN	because
it	PP	it
involves	VBZ	involve
a	DT	a
distance	NN	distance
to	TO	to
a	DT	a
star	NN	star
,	,	,
but	CC	but
there	EX	there
is	VBZ	be
another	DT	another
dimension	NN	dimension
to	TO	to
habitability	NN	habitability
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
vertical	JJ	vertical
dimension	NN	dimension
.	SENT	.
Think	VB	think
of	IN	of
it	PP	it
as	IN	as
conditions	NNS	condition
in	IN	in
the	DT	the
