OK	UH	OK
,	,	,
so	IN	so
my	PP$	my
name	NN	name
is	VBZ	be
Amber	NP	Amber
Cabral	NP	Cabral
,	,	,
and	CC	and
I	PP	I
teach	VBP	teach
people	NNS	people
how	WRB	how
to	TO	to
be	VB	be
good	JJ	good
humans	NNS	human
.	SENT	.
What	WP	what
that	WDT	that
essentially	RB	essentially
comes	VBZ	come
down	RP	down
to	TO	to
is	VBZ	be
I	PP	I
work	VBP	work
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
well-recognized	JJ	well-recognized
brands	NNS	brand
on	IN	on
something	NN	something
that	WDT	that
is	VBZ	be
a	DT	a
pretty	RB	pretty
consistent	JJ	consistent
challenge	NN	challenge
day-to-day	JJ	day-to-day
.	SENT	.
And	CC	and
what	WP	what
that	WDT	that
really	RB	really
comes	VBZ	come
down	RP	down
to	TO	to
is	VBZ	be
:	:	:
how	WRB	how
do	VBP	do
we	PP	we
help	VB	help
people	NNS	people
who	WP	who
are	VBP	be
different	JJ	different
from	IN	from
one	CD	one
another	DT	another
experience	NN	experience
a	DT	a
sense	NN	sense
of	IN	of
belonging	VBG	belong
and	CC	and
support	NN	support
in	IN	in
the	DT	the
workplace	NN	workplace
?	SENT	?
Now	RB	now
we	PP	we
'	POS	'
ve	NN	ve
all	RB	all
had	VBD	have
that	DT	that
moment	NN	moment
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
at	IN	at
work	NN	work
and	CC	and
we	PP	we
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	``	"
Ah	UH	ah
,	,	,
I	PP	I
just	RB	just
don	VBP	don
'	POS	'
t	NN	t
feel	VBP	feel
like	IN	like
I	PP	I
fit	VBP	fit
here	RB	here
.	SENT	.
"	''	"
And	CC	and
so	RB	so
I	PP	I
help	VB	help
organizations	NNS	organization
kind	NN	kind
of	IN	of
start	NN	start
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
make	VB	make
the	DT	the
connections	NNS	connection
necessary	JJ	necessary
for	IN	for
that	WDT	that
to	TO	to
work	VB	work
.	SENT	.
Now	RB	now
support	NN	support
sounds	VBZ	sound
easy	JJ	easy
.	SENT	.
Like	IN	like
we	PP	we
think	VBP	think
we	PP	we
can	MD	can
just	RB	just
do	VB	do
that	IN	that
,	,	,
because	IN	because
we	PP	we
do	VBP	do
it	PP	it
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
We	PP	we
support	VBP	support
people	NNS	people
we	PP	we
love	VBP	love
and	CC	and
care	VBP	care
about	RB	about
.	SENT	.
We	PP	we
support	VBP	support
people	NNS	people
that	IN	that
we	PP	we
think	VBP	think
we	PP	we
understand	VBP	understand
,	,	,
even	RB	even
if	IN	if
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VB	know
them	PP	them
.	SENT	.
But	CC	but
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
people	NNS	people
that	IN	that
we	PP	we
,	,	,
like	VB	like
,	,	,
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
at	IN	at
all	DT	all
or	CC	or
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
that	DT	that
connection	NN	connection
with	IN	with
,	,	,
well	RB	well
,	,	,
then	RB	then
we	PP	we
kind	RB	kind
of	IN	of
get	VB	get
a	DT	a
little	RB	little
weird	JJ	weird
about	IN	about
it	PP	it
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
really	RB	really
need	VBP	need
to	TO	to
do	VB	do
is	VBZ	be
pay	VB	pay
attention	NN	attention
to	TO	to
those	DT	those
differences	NNS	difference
,	,	,
because	IN	because
there	EX	there
'	''	'
s	NNS	<unknown>
magic	JJ	magic
in	IN	in
those	DT	those
differences	NNS	difference
,	,	,
there	EX	there
'	''	'
s	NN	S
something	NN	something
in	IN	in
there	RB	there
that	IN	that
we	PP	we
actually	RB	actually
have	VBP	have
an	DT	an
opportunity	NN	opportunity
to	TO	to
learn	VB	learn
and	CC	and
grow	VB	grow
from	IN	from
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
ve	JJ	<unknown>
kind	NN	kind
of	IN	of
been	VBN	be
taught	VBN	teach
to	TO	to
politely	RB	politely
ignore	VB	ignore
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
different	JJ	different
from	IN	from
one	CD	one
another	DT	another
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
actually	RB	actually
pay	VB	pay
attention	NN	attention
to	TO	to
it	PP	it
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
:	:	:
differences	NNS	difference
are	VBP	be
inevitable	JJ	inevitable
.	SENT	.
Look	VB	look
around	IN	around
this	DT	this
room	NN	room
.	SENT	.
Think	VB	think
about	IN	about
your	PP$	your
travel	NN	travel
into	IN	into
this	DT	this
room	NN	room
today	NN	today
.	SENT	.
You	PP	you
encountered	VBD	encounter
all	DT	all
kinds	NNS	kind
of	IN	of
differences	NNS	difference
.	SENT	.
We	PP	we
have	VBP	have
different	JJ	different
backgrounds	NNS	background
,	,	,
different	JJ	different
ideas	NNS	idea
,	,	,
different	JJ	different
perspectives	NNS	perspective
.	SENT	.
We	PP	we
have	VBP	have
different	JJ	different
identities	NNS	identity
,	,	,
we	PP	we
have	VBP	have
different	JJ	different
abilities	NNS	ability
,	,	,
all	RB	all
of	IN	of
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
continue	VB	continue
to	TO	to
be	VB	be
that	DT	that
way	NN	way
forever	RB	forever
.	SENT	.
But	CC	but
we	PP	we
still	RB	still
have	VBP	have
this	DT	this
moment	NN	moment
where	WRB	where
we	PP	we
want	VBP	want
to	TO	to
pull	VB	pull
back	RB	back
when	WRB	when
differences	NNS	difference
happen	VBP	happen
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
encourage	VB	encourage
you	PP	you
to	TO	to
do	VB	do
is	VBZ	be
instead	RB	instead
of	IN	of
pull	VB	pull
back	RB	back
,	,	,
maybe	RB	maybe
take	VB	take
a	DT	a
moment	NN	moment
and	CC	and
notice	VB	notice
those	DT	those
differences	NNS	difference
.	SENT	.
And	CC	and
not	RB	not
so	RB	so
that	IN	that
it	PP	it
'	POS	'
s	JJ	<unknown>
awkward	JJ	awkward
or	CC	or
weird	JJ	weird
.	SENT	.
You	PP	you
know	VBP	know
we	PP	we
try	VBP	try
to	TO	to
do	VB	do
that	DT	that
thing	NN	thing
where	WRB	where
we	PP	we
see	VBP	see
a	DT	a
thing	NN	thing
,	,	,
but	CC	but
we	PP	we
try	VBP	try
to	TO	to
act	VB	act
like	IN	like
we	PP	we
don	VBP	don
'	''	'
t	NN	t
see	VB	see
the	DT	the
thing	NN	thing
.	SENT	.
Like	IN	like
,	,	,
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
that	DT	that
!	SENT	!
But	CC	but
definitely	RB	definitely
please	VB	please
,	,	,
let	VB	let
'	''	'
s	NN	S
be	VB	be
aware	JJ	aware
of	IN	of
the	DT	the
differences	NNS	difference
,	,	,
because	IN	because
the	DT	the
magic	NN	magic
that	RB	that
'	POS	'
s	NN	S
in	IN	in
those	DT	those
will	MD	will
help	VB	help
us	PP	us
move	VB	move
forward	RB	forward
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
give	VB	give
you	PP	you
some	DT	some
techniques	NNS	technique
based	VBN	base
on	IN	on
just	RB	just
my	PP$	my
own	JJ	own
study	NN	study
and	CC	and
my	PP$	my
own	JJ	own
learnings	NNS	learning
that	IN	that
I	PP	I
think	VBP	think
will	MD	will
help	VB	help
you	PP	you
be	VB	be
able	JJ	able
to	TO	to
bridge	VB	bridge
some	DT	some
of	IN	of
those	DT	those
connections	NNS	connection
as	IN	as
we	PP	we
move	VBP	move
forward	RB	forward
,	,	,
alright	RB	alright
?	SENT	?
So	IN	so
the	DT	the
first	JJ	first
step	NN	step
.	SENT	.
.	SENT	.
.	SENT	.
The	DT	the
first	JJ	first
step	NN	step
--	:	--
there	EX	there
are	VBP	be
three	CD	three
.	SENT	.
Let	VB	let
me	PP	me
warn	VB	warn
you	PP	you
because	IN	because
sometimes	RB	sometimes
we	PP	we
need	VBP	need
to	TO	to
know	VB	know
that	DT	that
.	SENT	.
Alright	RB	alright
.	SENT	.
The	DT	the
first	JJ	first
step	NN	step
is	VBZ	be
to	TO	to
acknowledge	VB	acknowledge
that	IN	that
we	PP	we
all	RB	all
have	VBP	have
some	DT	some
privilege	NN	privilege
.	SENT	.
Now	RB	now
that	DT	that
word	NN	word
might	MD	might
have	VB	have
landed	VBN	land
on	IN	on
some	DT	some
of	IN	of
you	PP	you
,	,	,
like	VB	like
,	,	,
ich	NNS	<unknown>
.	SENT	.
Right	RB	right
?	SENT	?
But	CC	but
really	RB	really
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
demonstrate	VB	demonstrate
it	PP	it
for	IN	for
you	PP	you
for	IN	for
just	RB	just
a	DT	a
moment	NN	moment
.	SENT	.
Did	VBD	do
you	PP	you
wake	VBP	wake
up	RP	up
this	DT	this
morning	NN	morning
with	IN	with
hot	JJ	hot
,	,	,
clean	JJ	clean
running	VBG	run
water	NN	water
?	SENT	?
Did	VBD	do
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
?	SENT	?
Did	VBD	do
you	PP	you
wonder	VBP	wonder
if	IN	if
your	PP$	your
shower	NN	shower
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
your	PP$	your
ideal	JJ	ideal
temperature	NN	temperature
,	,	,
or	CC	or
if	IN	if
you	PP	you
'	''	'
d	SYM	d
have	VB	have
clean	JJ	clean
water	NN	water
for	IN	for
your	PP$	your
morning	NN	morning
coffee	NN	coffee
or	CC	or
tea	NN	tea
?	SENT	?
Likely	RB	likely
the	DT	the
answer	NN	answer
is	VBZ	be
no	UH	no
.	SENT	.
For	IN	for
most	JJS	most
of	IN	of
us	PP	us
in	IN	in
this	DT	this
room	NN	room
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
we	PP	we
can	MD	can
all	RB	all
agree	VB	agree
that	DT	that
access	NN	access
to	TO	to
water	NN	water
is	VBZ	be
indeed	RB	indeed
a	DT	a
privilege	NN	privilege
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
a	DT	a
little	RB	little
more	JJR	more
than	IN	than
a	DT	a
quarter	NN	quarter
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	NN	S
population	NN	population
does	VBZ	do
not	RB	not
have	VB	have
access	NN	access
to	TO	to
safely	RB	safely
managed	VBN	manage
drinking	NN	drinking
water	NN	water
at	IN	at
home	NN	home
.	SENT	.
So	RB	so
while	IN	while
it	PP	it
might	MD	might
be	VB	be
our	PP$	our
norm	NN	norm
,	,	,
it	PP	it
is	VBZ	be
indeed	RB	indeed
a	DT	a
privilege	NN	privilege
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
privilege	NN	privilege
shows	VBZ	show
up	RP	up
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
see	VB	see
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
regular	JJ	regular
to	TO	to
us	PP	us
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
part	NN	part
of	IN	of
who	WP	who
we	PP	we
are	VBP	be
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
even	RB	even
think	VBP	think
about	IN	about
it	PP	it
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
take	VBP	take
a	DT	a
moment	NN	moment
and	CC	and
we	PP	we
actually	RB	actually
pay	VBP	pay
attention	NN	attention
,	,	,
what	WP	what
being	VBG	be
aware	JJ	aware
of	IN	of
our	PP$	our
privilege	NN	privilege
does	VBZ	do
for	IN	for
us	PP	us
is	VBZ	be
it	PP	it
helps	VBZ	help
us	PP	us
to	TO	to
see	VB	see
where	WRB	where
we	PP	we
have	VBP	have
access	NN	access
.	SENT	.
It	PP	it
helps	VBZ	help
us	PP	us
see	VB	see
where	WRB	where
we	PP	we
have	VBP	have
ease	VB	ease
.	SENT	.
And	CC	and
access	NN	access
and	CC	and
ease	VB	ease
give	VB	give
us	PP	us
power	NN	power
.	SENT	.
Something	NN	something
as	IN	as
simple	NN	simple
as	IN	as
being	VBG	be
able	JJ	able
to	TO	to
speak	VB	speak
the	DT	the
language	NN	language
of	IN	of
our	PP$	our
communities	NNS	community
gives	VBZ	give
us	PP	us
privilege	NN	privilege
,	,	,
and	CC	and
that	DT	that
privilege	NN	privilege
gives	VBZ	give
us	PP	us
power	NN	power
.	SENT	.
So	RB	so
you	PP	you
may	MD	may
be	VB	be
wondering	VBG	wonder
:	:	:
how	WRB	how
do	VBP	do
I	PP	I
figure	VBP	figure
out	RP	out
my	PP$	my
privileges	NNS	privilege
if	IN	if
they	PP	they
'	POS	'
re	NN	re
regular	JJ	regular
?	SENT	?
They	PP	they
'	POS	'
re	NN	re
everywhere	RB	everywhere
.	SENT	.
OK	UH	OK
,	,	,
let	VB	let
me	PP	me
give	VB	give
you	PP	you
a	DT	a
simple	JJ	simple
question	NN	question
you	PP	you
can	MD	can
ask	VB	ask
yourself	PP	yourself
.	SENT	.
What	WP	what
about	IN	about
me	PP	me
or	CC	or
my	PP$	my
experience	NN	experience
might	NN	might
someone	NN	someone
look	NN	look
at	IN	at
and	CC	and
consider	VB	consider
to	TO	to
be	VB	be
typical	JJ	typical
?	SENT	?
It	PP	it
could	MD	could
be	VB	be
my	PP$	my
upbringing	NN	upbringing
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
the	DT	the
language	NN	language
I	PP	I
speak	VBP	speak
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
the	DT	the
way	NN	way
my	PP$	my
body	NN	body
works	NNS	work
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
my	PP$	my
style	NN	style
of	IN	of
dress	NN	dress
.	SENT	.
It	PP	it
could	MD	could
be	VB	be
any	DT	any
of	IN	of
those	DT	those
elements	NNS	element
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
hidden	VBN	hide
in	IN	in
the	DT	the
things	NNS	thing
that	WDT	that
we	PP	we
think	VBP	think
of	IN	of
as	RB	as
everyday	JJ	everyday
and	CC	and
regular	JJ	regular
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
find	VB	find
our	PP$	our
privilege	NN	privilege
.	SENT	.
So	RB	so
that	DT	that
leads	VBZ	lead
me	PP	me
to	TO	to
the	DT	the
second	JJ	second
step	NN	step
.	SENT	.
The	DT	the
second	JJ	second
step	NN	step
is	VBZ	be
we	PP	we
need	VBP	need
to	TO	to
be	VB	be
willing	JJ	willing
to	TO	to
recognize	VB	recognize
the	DT	the
differences	NNS	difference
in	IN	in
folks	NNS	folk
and	CC	and
want	VBP	want
to	TO	to
get	VB	get
to	TO	to
know	VB	know
them	PP	them
across	IN	across
those	DT	those
differences	NNS	difference
.	SENT	.
Let	VB	let
me	PP	me
learn	VB	learn
about	IN	about
your	PP$	your
experiences	NNS	experience
so	RB	so
that	IN	that
I	PP	I
can	MD	can
develop	VB	develop
empathy	NN	empathy
for	IN	for
you	PP	you
.	SENT	.
That	DT	that
learning	NN	learning
about	IN	about
the	DT	the
experiences	NNS	experience
part	NN	part
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
so	RB	so
that	IN	that
we	PP	we
can	MD	can
be	VB	be
curious	JJ	curious
.	SENT	.
We	PP	we
love	VBP	love
stories	NNS	story
,	,	,
alright	RB	alright
?	SENT	?
That	IN	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
Keep	VB	keep
loving	VBG	love
the	DT	the
stories	NNS	story
.	SENT	.
But	CC	but
also	RB	also
getting	VBG	get
to	TO	to
know	VB	know
about	IN	about
folks	NNS	folk
'	POS	'
experience	NN	experience
gives	VBZ	give
us	PP	us
a	DT	a
bit	NN	bit
of	IN	of
perspective	NN	perspective
that	IN	that
we	PP	we
might	MD	might
not	RB	not
otherwise	RB	otherwise
have	VBP	have
.	SENT	.
And	CC	and
so	IN	so
