Almost	RB	almost
20	CD	@card@
years	NNS	year
have	VBP	have
passed	VBN	pass
since	IN	since
9	CD	@card@
/	SYM	/
11	CD	@card@
.	SENT	.
It	PP	it
is	VBZ	be
time	NN	time
to	TO	to
take	VB	take
stock	NN	stock
of	IN	of
where	WRB	where
we	PP	we
stand	VBP	stand
and	CC	and
stop	VBP	stop
and	CC	and
think	VBP	think
.	SENT	.
It	PP	it
is	VBZ	be
time	NN	time
to	TO	to
ask	VB	ask
ourselves	PP	ourselves
,	,	,
have	VBP	have
the	DT	the
assumptions	NNS	assumption
and	CC	and
policies	NNS	policy
we	PP	we
developed	VBD	develop
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
those	DT	those
tragic	JJ	tragic
events	NNS	event
truly	RB	truly
made	VBD	make
us	PP	us
more	RBR	more
secure	JJ	secure
?	SENT	?
Have	VBP	have
they	PP	they
made	VBD	make
our	PP$	our
societies	NNS	society
,	,	,
both	CC	both
in	IN	in
Europe	NP	Europe
and	CC	and
in	IN	in
the	DT	the
United	NP	United
States	NP	States
,	,	,
more	RBR	more
resilient	JJ	resilient
?	SENT	?
I	NP	I
'	POS	'
ve	NN	ve
worked	VBD	work
all	PDT	all
my	PP$	my
life	NN	life
in	IN	in
the	DT	the
field	NN	field
of	IN	of
security	NN	security
and	CC	and
defense	NN	defense
,	,	,
and	CC	and
I	PP	I
am	VBP	be
convinced	VBN	convince
that	IN	that
now	RB	now
,	,	,
more	JJR	more
than	IN	than
ever	RB	ever
,	,	,
we	PP	we
need	VBP	need
to	TO	to
radically	RB	radically
reframe	VB	reframe
the	DT	the
way	NN	way
we	PP	we
think	VBP	think
and	CC	and
act	VBP	act
about	IN	about
security	NN	security
,	,	,
and	CC	and
especially	RB	especially
about	RB	about
international	JJ	international
security	NN	security
.	SENT	.
By	IN	by
international	JJ	international
security	NN	security
,	,	,
I	PP	I
actually	RB	actually
mean	VBP	mean
what	WP	what
we	PP	we
do	VBP	do
,	,	,
how	WRB	how
we	PP	we
prepare	VBP	prepare
our	PP$	our
countries	NNS	country
to	TO	to
better	RBR	well
respond	VB	respond
and	CC	and
prevent	VB	prevent
external	JJ	external
threats	NNS	threat
,	,	,
and	CC	and
how	WRB	how
we	PP	we
protect	VBP	protect
our	PP$	our
citizens	NNS	citizen
.	SENT	.
The	DT	the
key	NN	key
to	TO	to
both	CC	both
is	VBZ	be
to	TO	to
focus	VB	focus
on	IN	on
protecting	VBG	protect
civilians	NNS	civilian
,	,	,
both	CC	both
in	IN	in
our	PP$	our
own	JJ	own
countries	NNS	country
and	CC	and
in	RB	in
those	DT	those
where	WRB	where
we	PP	we
are	VBP	be
present	JJ	present
in	IN	in
the	DT	the
name	NN	name
of	IN	of
security	NN	security
.	SENT	.
Now	RB	now
,	,	,
this	DT	this
idea	NN	idea
goes	VBZ	go
against	IN	against
the	DT	the
fixed	VBN	fix
narrative	NN	narrative
that	IN	that
we	PP	we
developed	VBD	develop
over	IN	over
the	DT	the
past	JJ	past
20	CD	@card@
years	NNS	year
over	IN	over
what	WP	what
security	NN	security
is	VBZ	be
and	CC	and
how	WRB	how
to	TO	to
get	VB	get
it	PP	it
,	,	,
but	CC	but
that	IN	that
narrative	NN	narrative
is	VBZ	be
flawed	VBN	flaw
,	,	,
and	CC	and
worse	JJR	bad
,	,	,
it	PP	it
is	VBZ	be
counterproductive	JJ	counterproductive
.	SENT	.
Over	IN	over
the	DT	the
past	JJ	past
20	CD	@card@
years	NNS	year
,	,	,
both	CC	both
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
in	IN	in
Europe	NP	Europe
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
come	VBP	come
to	TO	to
accept	VB	accept
that	IN	that
we	PP	we
must	MD	must
talk	VB	talk
about	IN	about
security	NN	security
in	IN	in
zero	CD	zero
sum	NN	sum
terms	NNS	term
,	,	,
as	RB	as
if	IN	if
the	DT	the
only	JJ	only
way	NN	way
to	TO	to
gain	VB	gain
more	JJR	more
security	NN	security
is	VBZ	be
by	IN	by
compromising	VBG	compromise
on	IN	on
values	NNS	value
and	CC	and
rights	NNS	right
:	:	:
security	NN	security
versus	CC	versus
human	JJ	human
rights	NNS	right
,	,	,
safety	NN	safety
versus	CC	versus
freedom	NN	freedom
and	CC	and
development	NN	development
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
false	JJ	false
opposition	NN	opposition
.	SENT	.
It	PP	it
just	RB	just
doesn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
like	IN	like
that	DT	that
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
recognize	VB	recognize
that	DT	that
security	NN	security
and	CC	and
human	JJ	human
rights	NNS	right
are	VBP	be
not	RB	not
opposite	JJ	opposite
values	NNS	value
,	,	,
they	PP	they
are	VBP	be
intrinsically	RB	intrinsically
related	VBN	relate
.	SENT	.
After	IN	after
all	DT	all
,	,	,
the	DT	the
most	RBS	most
basic	JJ	basic
human	JJ	human
right	NN	right
is	VBZ	be
the	DT	the
right	NN	right
to	TO	to
live	VB	live
and	CC	and
to	TO	to
be	VB	be
free	JJ	free
from	IN	from
violence	NN	violence
,	,	,
and	CC	and
a	DT	a
state	NN	state
'	POS	'
s	JJ	<unknown>
most	RBS	most
basic	JJ	basic
responsibility	NN	responsibility
is	VBZ	be
to	TO	to
guarantee	VB	guarantee
that	DT	that
right	NN	right
for	IN	for
its	PP$	its
citizens	NNS	citizen
.	SENT	.
Conversely	RB	conversely
,	,	,
if	IN	if
we	PP	we
think	VBP	think
about	IN	about
communities	NNS	community
all	RB	all
over	IN	over
the	DT	the
world	NN	world
affected	VBN	affect
by	IN	by
war	NN	war
and	CC	and
conflict	NN	conflict
,	,	,
it	PP	it
is	VBZ	be
