Once	RB	once
upon	IN	upon
a	DT	a
time	NN	time
,	,	,
there	EX	there
was	VBD	be
a	DT	a
place	NN	place
called	VBN	call
Lesterland	NP	Lesterland
.	SENT	.
Now	RB	now
Lesterland	NP	Lesterland
looks	VBZ	look
a	DT	a
lot	NN	lot
like	IN	like
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
Like	IN	like
the	DT	the
United	NP	United
States	NPS	States
,	,	,
it	PP	it
has	VBZ	have
about	RB	about
311	CD	@card@
million	CD	million
people	NNS	people
,	,	,
and	CC	and
of	IN	of
that	WDT	that
311	CD	@card@
million	CD	million
people	NNS	people
,	,	,
it	PP	it
turns	VBZ	turn
out	IN	out
144	CD	@card@
,	,	,
000	CD	@card@
are	VBP	be
called	VBN	call
Lester	NP	Lester
.	SENT	.
If	IN	if
Matt	NP	Matt
'	POS	'
s	NN	S
in	IN	in
the	DT	the
audience	NN	audience
,	,	,
I	PP	I
just	RB	just
borrowed	VBD	borrow
that	IN	that
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
return	VB	return
it	PP	it
in	IN	in
a	DT	a
second	JJ	second
,	,	,
this	DT	this
character	NN	character
from	IN	from
your	PP$	your
series	NN	series
.	SENT	.
So	IN	so
144	CD	@card@
,	,	,
000	CD	@card@
are	VBP	be
called	VBN	call
Lester	NP	Lester
,	,	,
which	WDT	which
means	VBZ	mean
about	RB	about
.	SENT	.
05	CD	@card@
percent	NN	percent
is	VBZ	be
named	VBN	name
Lester	NP	Lester
.	SENT	.
Now	RB	now
,	,	,
Lesters	NP	Lesters
in	IN	in
Lesterland	NP	Lesterland
have	VBP	have
this	DT	this
extraordinary	JJ	extraordinary
power	NN	power
.	SENT	.
There	EX	there
are	VBP	be
two	CD	two
elections	NNS	election
every	DT	every
election	NN	election
cycle	NN	cycle
in	IN	in
Lesterland	NP	Lesterland
.	SENT	.
One	PP	one
is	VBZ	be
called	VBN	call
the	DT	the
general	JJ	general
election	NN	election
.	SENT	.
The	DT	the
other	JJ	other
is	VBZ	be
called	VBN	call
the	DT	the
Lester	NP	Lester
election	NN	election
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
general	JJ	general
election	NN	election
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
citizens	NNS	citizen
who	WP	who
get	VBP	get
to	TO	to
vote	VB	vote
,	,	,
but	CC	but
in	IN	in
the	DT	the
Lester	NP	Lester
election	NN	election
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
Lesters	NP	Lesters
who	WP	who
get	VBP	get
to	TO	to
vote	VB	vote
.	SENT	.
And	CC	and
