Let	NP	Let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
silence	NN	silence
.	SENT	.
Silence	NN	silence
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
precious	JJ	precious
conditions	NNS	condition
for	IN	for
humans	NNS	human
,	,	,
because	IN	because
it	PP	it
allows	VBZ	allow
us	PP	us
to	TO	to
feel	VB	feel
the	DT	the
depth	NN	depth
of	IN	of
our	PP$	our
presence	NN	presence
.	SENT	.
This	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
why	WRB	why
the	DT	the
advent	NN	advent
of	IN	of
electric	JJ	electric
cars	NNS	car
has	VBZ	have
generated	VBN	generate
lots	NNS	lot
of	IN	of
enthusiasm	NN	enthusiasm
among	IN	among
people	NNS	people
.	SENT	.
For	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
we	PP	we
could	MD	could
associate	VB	associate
the	DT	the
concept	NN	concept
of	IN	of
cars	NNS	car
with	IN	with
the	DT	the
experience	NN	experience
of	IN	of
silence	NN	silence
.	SENT	.
Cars	NNS	car
can	MD	can
finally	RB	finally
be	VB	be
quiet	JJ	quiet
:	:	:
peace	NN	peace
in	IN	in
the	DT	the
streets	NNS	street
,	,	,
a	DT	a
silent	JJ	silent
revolution	NN	revolution
in	IN	in
the	DT	the
cities	NNS	city
.	SENT	.
But	CC	but
silence	NN	silence
can	MD	can
also	RB	also
be	VB	be
a	DT	a
problem	NN	problem
.	SENT	.
The	DT	the
absence	NN	absence
of	IN	of
sound	NN	sound
,	,	,
in	IN	in
fact	NN	fact
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
cars	NNS	car
,	,	,
it	PP	it
can	MD	can
be	VB	be
quite	RB	quite
dangerous	JJ	dangerous
.	SENT	.
Think	VB	think
of	IN	of
blind	JJ	blind
people	NNS	people
,	,	,
who	WP	who
can	MD	can
'	''	'
t	NN	t
see	VB	see
a	DT	a
car	NN	car
which	WDT	which
is	VBZ	be
approaching	VBG	approach
.	SENT	.
And	CC	and
now	RB	now
,	,	,
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
electric	JJ	electric
,	,	,
they	PP	they
can	MD	can
'	''	'
t	NN	t
even	RB	even
hear	VB	hear
it	PP	it
.	SENT	.
Or	CC	or
think	VBP	think
of	IN	of
every	DT	every
one	CD	one
of	IN	of
us	PP	us
as	IN	as
we	PP	we
are	VBP	be
walking	VBG	walk
around	RP	around
the	DT	the
city	NN	city
,	,	,
we	PP	we
are	VBP	be
absorbed	VBN	absorb
in	IN	in
our	PP$	our
thoughts	NNS	thought
,	,	,
and	CC	and
we	PP	we
detach	VBP	detach
from	IN	from
the	DT	the
surroundings	NNS	surroundings
.	SENT	.
In	IN	in
these	DT	these
situations	NNS	situation
,	,	,
sound	NN	sound
can	MD	can
become	VB	become
our	PP$	our
precious	JJ	precious
companion	NN	companion
.	SENT	.
Sound	NN	sound
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
wonderful	JJ	wonderful
gifts	NNS	gift
of	IN	of
our	PP$	our
universe	NN	universe
.	SENT	.
Sound	NN	sound
is	VBZ	be
emotion	NN	emotion
and	CC	and
sound	NN	sound
is	VBZ	be
sublime	JJ	sublime
,	,	,
and	CC	and
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
cars	NNS	car
,	,	,
sound	NN	sound
is	VBZ	be
also	RB	also
information	NN	information
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
protect	VB	protect
pedestrians	NNS	pedestrian
and	CC	and
to	TO	to
give	VB	give
acoustic	JJ	acoustic
feedback	NN	feedback
to	TO	to
the	DT	the
drivers	NNS	driver
,	,	,
governments	NNS	government
around	IN	around
the	DT	the
world	NN	world
have	VBP	have
introduced	VBN	introduce
several	JJ	several
regulations	NNS	regulation
which	WDT	which
prescribe	VBP	prescribe
the	DT	the
presence	NN	presence
of	IN	of
a	DT	a
sound	NN	sound
for	IN	for
electric	JJ	electric
vehicles	NNS	vehicle
.	SENT	.
In	IN	in
particular	JJ	particular
,	,	,
they	PP	they
require	VBP	require
minimum	JJ	minimum
sound	JJ	sound
levels	NNS	level
at	IN	at
specific	JJ	specific
frequency	NN	frequency
bands	VBZ	band
up	RP	up
to	TO	to
the	DT	the
speed	NN	speed
of	IN	of
30	CD	@card@
kilometers	NNS	kilometer
per	IN	per
hour	NN	hour
.	SENT	.
Besides	IN	besides
this	DT	this
speed	NN	speed
,	,	,
the	DT	the
natural	JJ	natural
noise	NN	noise
of	IN	of
the	DT	the
car	NN	car
is	VBZ	be
considered	VBN	consider
as	IN	as
sufficient	JJ	sufficient
.	SENT	.
These	DT	these
regulations	NNS	regulation
have	VBP	have
generated	VBN	generate
different	JJ	different
reactions	NNS	reaction
among	IN	among
those	DT	those
who	WP	who
favor	VBP	favor
sounds	NNS	sound
and	CC	and
those	DT	those
who	WP	who
fear	VBP	fear
the	DT	the
presence	NN	presence
of	IN	of
too	RB	too
much	JJ	much
noise	NN	noise
in	IN	in
the	DT	the
city	NN	city
.	SENT	.
However	RB	however
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
see	VB	see
it	PP	it
as	IN	as
the	DT	the
noise	NN	noise
of	IN	of
the	DT	the
car	NN	car
.	SENT	.
I	PP	I
rather	RB	rather
see	VBP	see
it	PP	it
as	IN	as
the	DT	the
voice	NN	voice
of	IN	of
the	DT	the
car	NN	car
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
my	PP$	my
biggest	JJS	big
challenges	NNS	challenge
,	,	,
and	CC	and
privileges	NNS	privilege
,	,	,
at	IN	at
the	DT	the
same	JJ	same
