What	WP	what
'	POS	'
s	NN	S
in	IN	in
the	DT	the
box	NN	box
?	SENT	?
Whatever	WDT	whatever
it	PP	it
is	VBZ	be
must	MD	must
be	VB	be
pretty	RB	pretty
important	JJ	important
,	,	,
because	IN	because
I	PP	I
'	POS	'
ve	NN	ve
traveled	VBD	travel
with	IN	with
it	PP	it
,	,	,
moved	VBD	move
it	PP	it
,	,	,
from	IN	from
apartment	NN	apartment
to	TO	to
apartment	NN	apartment
to	TO	to
apartment	NN	apartment
.	SENT	.
Sound	JJ	sound
familiar	JJ	familiar
?	SENT	?
Did	VBD	do
you	PP	you
know	VBP	know
that	WDT	that
we	PP	we
Americans	NPS	Americans
have	VBP	have
about	RB	about
three	CD	three
times	NNS	time
the	DT	the
amount	NN	amount
of	IN	of
space	NN	space
we	PP	we
did	VBD	do
50	CD	@card@
years	NNS	year
ago	RB	ago
?	SENT	?
Three	CD	three
times	NNS	time
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
d	NN	d
think	VBP	think
,	,	,
with	IN	with
all	PDT	all
this	DT	this
extra	JJ	extra
space	NN	space
,	,	,
we	PP	we
'	POS	'
d	NN	d
have	VBP	have
plenty	NN	plenty
of	IN	of
room	NN	room
for	IN	for
all	PDT	all
our	PP$	our
stuff	NN	stuff
.	SENT	.
Nope	NP	<unknown>
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
new	JJ	new
industry	NN	industry
in	IN	in
town	NN	town
,	,	,
a	DT	a
22	CD	@card@
billion-dollar	JJ	billion-dollar
,	,	,
2	CD	@card@
.	SENT	.
2	CD	@card@
billion	NNS	billion
sq	JJ	<unknown>
.	SENT	.
ft	NNS	ft
.	SENT	.
industry	NN	industry
:	:	:
that	WDT	that
of	IN	of
personal	JJ	personal
storage	NN	storage
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
triple	RB	triple
the	DT	the
space	NN	space
,	,	,
but	CC	but
we	PP	we
'	POS	'
ve	NNS	<unknown>
become	VBP	become
such	JJ	such
good	JJ	good
shoppers	NNS	shopper
that	IN	that
we	PP	we
need	VBP	need
even	RB	even
more	JJR	more
space	NN	space
.	SENT	.
So	RB	so
where	WRB	where
does	VBZ	do
this	DT	this
lead	NN	lead
?	SENT	?
Lots	NNS	lot
of	IN	of
credit	NN	credit
card	NN	card
debt	NN	debt
,	,	,
huge	JJ	huge
environmental	JJ	environmental
footprints	NNS	footprint
,	,	,
and	CC	and
perhaps	RB	perhaps
not	RB	not
coincidentally	RB	coincidentally
,	,	,
our	PP$	our
happiness	NN	happiness
levels	NNS	level
flat-lined	VBN	flat-line
over	IN	over
the	DT	the
same	JJ	same
50	CD	@card@
years	NNS	year
.	SENT	.
Well	RB	well
I	NP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
suggest	VB	suggest
there	RB	there
'	''	'
s	VBG	<unknown>
a	DT	a
better	JJR	good
way	NN	way
,	,	,
that	WDT	that
less	RBR	less
might	MD	might
actually	RB	actually
equal	VB	equal
more	RBR	more
.	SENT	.
I	PP	I
bet	VBD	bet
most	JJS	most
of	IN	of
us	PP	us
have	VBP	have
experienced	VBN	experience
at	IN	at
some	DT	some
point	NN	point
the	DT	the
joys	NNS	joy
of	IN	of
less	RBR	less
:	:	:
college	NN	college
—	:	-
in	IN	in
your	PP$	your
dorm	NN	dorm
,	,	,
traveling	VBG	travel
—	:	-
in	IN	in
a	DT	a
hotel	NN	hotel
room	NN	room
,	,	,
camping	VBG	camp
—	:	-
rig	VB	rig
up	RB	up
basically	RB	basically
nothing	NN	nothing
,	,	,
maybe	RB	maybe
a	DT	a
boat	NN	boat
.	SENT	.
Whatever	WDT	whatever
it	PP	it
was	VBD	be
for	IN	for
you	PP	you
,	,	,
I	PP	I
bet	VBD	bet
that	IN	that
,	,	,
among	IN	among
other	JJ	other
things	NNS	thing
,	,	,
this	DT	this
gave	VBD	give
you	PP	you
a	DT	a
little	RB	little
more	JJR	more
freedom	NN	freedom
,	,	,
a	DT	a
little	RB	little
more	JJR	more
time	NN	time
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
suggest	VB	suggest
that	DT	that
less	JJR	less
stuff	NN	stuff
and	CC	and
less	JJR	less
space	NN	space
are	VBP	be
going	VBG	go
to	TO	to
equal	VB	equal
a	DT	a
smaller	JJR	small
footprint	NN	footprint
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
great	JJ	great
way	NN	way
to	TO	to
save	VB	save
you	PP	you
some	DT	some
