Earlier	RBR	earlier
this	DT	this
year	NN	year
,	,	,
I	PP	I
was	VBD	be
in	IN	in
Taipei	NP	Taipei
,	,	,
Taiwan	NP	Taiwan
,	,	,
where	WRB	where
I	PP	I
decided	VBD	decide
I	PP	I
wanted	VBD	want
to	TO	to
make	VB	make
a	DT	a
TikTok	NP	<unknown>
about	IN	about
Cup	NP	Cup
Noodle	NN	noodle
.	SENT	.
Only	RB	only
this	DT	this
brilliant	JJ	brilliant
TikTok	NP	<unknown>
never	RB	never
happened	VBD	happen
because	IN	because
of	IN	of
the	DT	the
shock	NN	shock
I	PP	I
got	VBD	get
when	WRB	when
I	PP	I
opened	VBD	open
up	RP	up
the	DT	the
app	NP	App
and	CC	and
flipped	VBD	flip
it	PP	it
into	IN	into
selfie	NN	<unknown>
mode	NN	mode
.	SENT	.
The	DT	the
face	NN	face
looking	VBG	look
back	RB	back
at	IN	at
me	PP	me
was	VBD	be
a	DT	a
face	NN	face
,	,	,
but	CC	but
not	RB	not
exactly	RB	exactly
my	PP$	my
face	NN	face
.	SENT	.
A	DT	a
whole	JJ	whole
array	NN	array
of	IN	of
beauty	NN	beauty
filters	NNS	filter
had	VBD	have
automatically	RB	automatically
worked	VBN	work
me	PP	me
over	RP	over
,	,	,
and	CC	and
I	PP	I
could	MD	could
not	RB	not
turn	VB	turn
them	PP	them
off	RP	off
.	SENT	.
There	EX	there
was	VBD	be
so	RB	so
much	RB	much
going	VBG	go
on	IN	on
here	RB	here
:	:	:
skin	NN	skin
smoothing	VBG	smooth
,	,	,
skin	NN	skin
lightening	VBG	lighten
,	,	,
teeth	NNS	tooth
whitening	NN	whitening
,	,	,
nose	NN	nose
narrowing	NN	narrowing
,	,	,
bigger	JJR	big
eyes	NNS	eye
,	,	,
and	CC	and
it	PP	it
gave	VBD	give
me	PP	me
a	DT	a
thinner	JJR	thin
,	,	,
softer	JJR	soft
jawline	NN	<unknown>
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
whole	JJ	whole
lot	NN	lot
of	IN	of
nonconsensual	JJ	nonconsensual
filtering	VBG	filter
or	CC	or
what	WDT	what
someone	NN	someone
joked	VBD	joke
was	VBD	be
forced	VBN	force
catfishing	NN	catfishing
.	SENT	.
And	CC	and
for	IN	for
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
perfect	JJ	perfect
example	NN	example
of	IN	of
something	NN	something
called	VBD	call
the	DT	the
technological	JJ	technological
gaze	NN	gaze
at	IN	at
work	NN	work
.	SENT	.
What	WP	what
is	VBZ	be
it	PP	it
?	SENT	?
Women	NNS	woman
have	VBP	have
had	VBN	have
to	TO	to
play	VB	play
to	TO	to
the	DT	the
male	JJ	male
gaze	NN	gaze
forever	RB	forever
,	,	,
you	PP	you
know	VBP	know
what	WP	what
that	DT	that
is	VBZ	be
.	SENT	.
But	CC	but
the	DT	the
technological	JJ	technological
gaze	NN	gaze
describes	VBZ	describe
an	DT	an
algorithmically	RB	algorithmically
driven	VBN	drive
perspective	NN	perspective
that	IN	that
we	PP	we
learn	VBP	learn
to	TO	to
internalize	VB	internalize
,	,	,
perform	VB	perform
for	IN	for
and	CC	and
optimize	VB	optimize
for	IN	for
.	SENT	.
And	CC	and
then	RB	then
,	,	,
by	IN	by
taking	VBG	take
in	IN	in
all	PDT	all
our	PP$	our
data	NNS	datum
,	,	,
the	DT	the
machines	NNS	machine
learn	VBP	learn
to	TO	to
perform	VB	perform
us	PP	us
,	,	,
in	IN	in
an	DT	an
endless	JJ	endless
feedback	NN	feedback
loop	NN	loop
.	SENT	.
We	PP	we
learn	VBP	learn
it	PP	it
so	RB	so
young	JJ	young
.	SENT	.
An	DT	an
estimated	VBN	estimate
80	CD	@card@
percent	NN	percent
of	IN	of
13-year-old	JJ	13-year-old
girls	NNS	girl
in	IN	in
America	NP	America
have	VBP	have
already	RB	already
used	VBN	use
filters	NNS	filter
or	CC	or
some	DT	some
kind	NN	kind
of	IN	of
editing	VBG	edit
to	TO	to
alter	VB	alter
their	PP$	their
appearance	NN	appearance
online	JJ	online
.	SENT	.
And	CC	and
these	DT	these
days	NNS	day
,	,	,
the	DT	the
filters	NNS	filter
are	VBP	be
hyperrealistic	JJ	hyperrealistic
because	IN	because
they	PP	they
tend	VBP	tend
to	TO	to
be	VB	be
AI-generated	JJ	<unknown>
.	SENT	.
They	PP	they
come	VBP	come
with	IN	with
a	DT	a
suite	NN	suite
of	IN	of
characteristics	NNS	characteristic
teaching	VBG	teach
us	PP	us
how	WRB	how
to	TO	to
look	VB	look
,	,	,
things	NNS	thing
like	IN	like
arched	JJ	arched
eyebrows	NNS	eyebrow
,	,	,
or	CC	or
higher	JJR	high
cheekbones	NNS	cheekbone
or	CC	or
plump	JJ	plump
lips	NNS	lip
.	SENT	.
What	WP	what
then	RB	then
happens	VBZ	happen
is	VBZ	be
we	PP	we
see	VBP	see
the	DT	the
gap	NN	gap
between	IN	between
the	DT	the
way	NN	way
we	PP	we
look	VBP	look
in	IN	in
the	DT	the
mirror	NN	mirror
and	CC	and
the	DT	the
way	NN	way
we	PP	we
look	VBP	look
in	IN	in
these	DT	these
filters	NNS	filter
,	,	,
and	CC	and
the	DT	the
digital	JJ	digital
world	NN	world
begins	VBZ	begin
to	TO	to
dictate	VB	dictate
real-world	NN	real-world
beauty	NN	beauty
standards	NNS	standard
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
it	PP	it
in	IN	in
celebrity	NN	celebrity
culture	NN	culture
,	,	,
and	CC	and
I	PP	I
know	VBP	know
this	DT	this
,	,	,
because	IN	because
I	PP	I
saw	VBD	see
it	PP	it
when	WRB	when
I	PP	I
lived	VBD	live
and	CC	and
worked	VBD	work
in	IN	in
Seoul	NP	Seoul
,	,	,
South	NP	South
Korea	NP	Korea
,	,	,
as	IN	as
the	DT	the
NPR	NP	NPR
Bureau	NP	Bureau
Chief	NP	Chief
there	RB	there
nearly	RB	nearly
10	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
Seoul	NP	Seoul
is	VBZ	be
all	DT	all
about	RB	about
optimizing	VBG	optimize
your	PP$	your
face	NN	face
and	CC	and
your	PP$	your
body	NN	body
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
your	PP$	your
vagina	NN	vagina
rejuvenated	VBD	rejuvenate
,	,	,
your	PP$	your
skull	NN	skull
reshaped	VBD	reshape
,	,	,
any	DT	any
part	NN	part
of	IN	of
your	PP$	your
body	NN	body
lifted	VBN	lift
or	CC	or
enhanced	JJ	enhanced
,	,	,
have	VBP	have
at	IN	at
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
cosmetic	JJ	cosmetic
surgery	NN	surgery
capital	NN	capital
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
Nearly	RB	nearly
half	NN	half
of	IN	of
all	DT	all
Korean	JJ	Korean
women	NNS	woman
have	VBP	have
already	RB	already
undergone	VBN	undergo
some	DT	some
kind	NN	kind
of	IN	of
plastic	JJ	plastic
surgery	NN	surgery
by	IN	by
the	DT	the
time	NN	time
they	PP	they
'	POS	'
re	NN	re
in	IN	in
their	PP$	their
20s	NNS	20s
.	SENT	.
No	DT	no
other	JJ	other
place	NN	place
comes	VBZ	come
close	JJ	close
.	SENT	.
These	DT	these
days	NNS	day
,	,	,
traptox	NN	<unknown>
is	VBZ	be
really	RB	really
popular	JJ	popular
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
injecting	VBG	inject
Botox	NP	<unknown>
into	IN	into
the	DT	the
base	NN	base
of	IN	of
your	PP$	your
neck	NN	neck
,	,	,
your	PP$	your
trapezius	NN	trapezius
muscles	NNS	muscle
,	,	,
to	TO	to
give	VB	give
the	DT	the
appearance	NN	appearance
of	IN	of
a	DT	a
longer	JJR	long
neck	NN	neck
.	SENT	.
Calves	NNS	calf
are	VBP	be
being	VBG	be
injected	VBN	inject
with	IN	with
Botox	NP	<unknown>
for	IN	for
the	DT	the
same	JJ	same
reason	NN	reason
.	SENT	.
Having	VBG	have
a	DT	a
slimmer	JJR	slim
jawline	NN	<unknown>
is	VBZ	be
so	RB	so
desirable	JJ	desirable
that	IN	that
a	DT	a
Seoul	NP	Seoul
plastic	NN	plastic
surgery	NN	surgery
clinic	NN	clinic
once	RB	once
displayed	VBD	display
the	DT	the
human	JJ	human
bones	NNS	bone
of	IN	of
jaws	NNS	jaw
it	PP	it
had	VBD	have
shaved	VBN	shave
down	RP	down
in	IN	in
a	DT	a
glass	NN	glass
vase	NN	vase
in	IN	in
its	PP$	its
lobby	NN	lobby
.	SENT	.
This	DT	this
has	VBZ	have
since	RB	since
been	VBN	be
removed	VBN	remove
,	,	,
but	CC	but
this	DT	this
kind	NN	kind
of	IN	of
body	NN	body
augmentation	NN	augmentation
work	NN	work
isn	NN	isn
'	POS	'
t	NN	t
just	RB	just
accepted	VBN	accept
,	,	,
it	PP	it
is	VBZ	be
expected	VBN	expect
,	,	,
because	IN	because
in	IN	in
Seoul	NP	Seoul
,	,	,
looks	VBZ	look
matter	NN	matter
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
professional	JJ	professional
and	CC	and
personal	JJ	personal
advancement	NN	advancement
.	SENT	.
Headshots	NNS	Headshot
are	VBP	be
required	VBN	require
on	IN	on
résumés	NNS	résumé
.	SENT	.
Hiring	VBG	hire
bosses	NNS	boss
make	VB	make
character	NN	character
judgments	NNS	judgment
based	VBN	base
on	IN	on
your	PP$	your
face	NN	face
.	SENT	.
You	PP	you
were	VBD	be
often	RB	often
bullied	VBN	bully
if	IN	if
you	PP	you
were	VBD	be
bald	JJ	bald
or	CC	or
big	JJ	big
.	SENT	.
Trying	VBG	try
to	TO	to
look	VB	look
better	JJR	good
is	VBZ	be
framed	VBN	frame
as	IN	as
a	DT	a
route	NN	route
to	TO	to
economic	JJ	economic
security	NN	security
and	CC	and
a	DT	a
matter	NN	matter
of	IN	of
personal	JJ	personal
responsibility	NN	responsibility
.	SENT	.
But	CC	but
Korea	NP	Korea
just	RB	just
shows	VBZ	show
us	PP	us
a	DT	a
more	RBR	more
concentrated	JJ	concentrated
and	CC	and
extreme	JJ	extreme
example	NN	example
of	IN	of
the	DT	the
pretty	JJ	pretty
privilege	NN	privilege
that	WDT	that
exists	VBZ	exist
everywhere	RB	everywhere
.	SENT	.
Look	VB	look
at	IN	at
fatphobia	NN	fatphobia
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
helping	VBG	help
drive	NN	drive
off-the-charts	NNS	off-the-chart
,	,	,
off-label	NN	off-label
use	NN	use
of	IN	of
Ozempic	JJ	<unknown>
,	,	,
not	RB	not
for	IN	for
diabetes	NN	diabetes
,	,	,
but	CC	but
for	IN	for
weight	NN	weight
loss	NN	loss
.	SENT	.
It	PP	it
makes	VBZ	make
sense	VB	sense
when	WRB	when
we	PP	we
are	VBP	be
so	RB	so
rewarded	VBN	reward
for	IN	for
thinness	NN	thinness
and	CC	and
stigmatized	VBN	stigmatize
for	IN	for
fatness	NN	fatness
.	SENT	.
And	CC	and
all	DT	all
I	NP	I
'	POS	'
m	NN	m
saying	NN	saying
is	VBZ	be
we	PP	we
should	MD	should
reckon	VB	reckon
with	IN	with
this	DT	this
,	,	,
because	IN	because
the	DT	the
more	JJR	more
narrow	JJ	narrow
our	PP$	our
idea	NN	idea
of	IN	of
beauty	NN	beauty
is	VBZ	be
,	,	,
the	DT	the
wider	JJR	wide
the	DT	the
pool	NN	pool
of	IN	of
ugly	JJ	ugly
becomes	VBZ	become
.	SENT	.
And	CC	and
digital	JJ	digital
culture	NN	culture
is	VBZ	be
now	RB	now
reshaping	VBG	reshape
our	PP$	our
actual	JJ	actual
faces	NNS	face
and	CC	and
bodies	NNS	body
.	SENT	.
Under	IN	under
the	DT	the
technological	JJ	technological
gaze	NN	gaze
,	,	,
I	PP	I
worry	VBP	worry
that	IN	that
our	PP$	our
bodies	NNS	body
become	VBP	become
projects	NNS	project
to	TO	to
be	VB	be
worked	VBN	work
on	RP	on
.	SENT	.
.	SENT	.
.	SENT	.
forever	RB	forever
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
don	VBP	don
'	''	'
t	NN	t
slow	VB	slow
down	RP	down
this	DT	this
body	NN	body
augmentation	NN	augmentation
arms	NNS	arm
race	NN	race
that	IN	that
I	PP	I
saw	VBD	see
in	IN	in
Seoul	NP	Seoul
,	,	,
then	RB	then
the	DT	the
enhancements	NNS	enhancement
that	WDT	that
were	VBD	be
available	JJ	available
there	RB	there
only	RB	only
get	VB	get
farther	RBR	farther
and	CC	and
farther	RBR	farther
out	RB	out
of	IN	of
reach	NN	reach
.	SENT	.
And	CC	and
not	RB	not
just	RB	just
for	IN	for
women	NNS	woman
.	SENT	.
Because	IN	because
if	IN	if
we	PP	we
are	VBP	be
chasing	VBG	chase
digital	JJ	digital
beauty	NN	beauty
,	,	,
well	RB	well
,	,	,
then	RB	then
,	,	,
the	DT	the
limit	NN	limit
does	VBZ	do
not	RB	not
exist	VB	exist
.	SENT	.
AI	NN	ai
'	POS	'
s	JJ	<unknown>
idea	NN	idea
of	IN	of
attractiveness	NN	attractiveness
is	VBZ	be
only	RB	only
increasingly	RB	increasingly
inhuman	JJ	inhuman
.	SENT	.
.	SENT	.
.	SENT	.
and	CC	and
cyborgian	JJ	<unknown>
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
this	DT	this
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
my	PP$	my
daughters	NNS	daughter
coming	VBG	come
up	RP	up
in	IN	in
a	DT	a
world	NN	world
in	IN	in
which	WDT	which
their	PP$	their
looks	NNS	look
are	VBP	be
the	DT	the
most	RBS	most
important	JJ	important
things	NNS	thing
about	IN	about
them	PP	them
.	SENT	.
It	PP	it
is	VBZ	be
incredibly	RB	incredibly
marginalizing	VBG	marginalize
to	TO	to
everybody	NN	everybody
who	WP	who
can	MD	can
'	''	'
t	NN	t
fit	NN	fit
in	IN	in
and	CC	and
exhausting	VBG	exhaust
for	IN	for
everyone	NN	everyone
who	WP	who
can	MD	can
,	,	,
because	IN	because
you	PP	you
are	VBP	be
constantly	RB	constantly
having	VBG	have
to	TO	to
make	VB	make
or	CC	or
pay	VB	pay
for	IN	for
interventions	NNS	intervention
in	IN	in
order	NN	order
to	TO	to
keep	VB	keep
up	RP	up
.	SENT	.
So	RB	so
what	WP	what
do	VBP	do
we	PP	we
do	VBP	do
?	SENT	?
Filters	NNS	filter
aren	NNS	<unknown>
'	POS	'
t	NN	t
going	VBG	go
anywhere	RB	anywhere
,	,	,
but	CC	but
we	PP	we
can	MD	can
challenge	VB	challenge
what	WP	what
the	DT	the
system	NN	system
is	VBZ	be
optimized	VBN	optimize
for	IN	for
by	IN	by
changing	VBG	change
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
beautiful	JJ	beautiful
.	SENT	.
Just	RB	just
as	IN	as
the	DT	the
solution	NN	solution
