Let let
' '
s s
talk talk
dirty dirty
. .
A a
few few
years year
ago ago
, ,
oddly oddly
enough enough
, ,
I i
needed need
the the
bathroom bathroom
, ,
and and
I i
found find
one one
, ,
a a
public public
bathroom bathroom
, ,
and and
I i
went go
into into
the the
stall stall
, ,
and and
I i
prepared prepare
to to
do do
what what
I i
' '
d d
done do
most most
of of
my my
life life
: :
use use
the the
toilet toilet
, ,
flush flush
the the
toilet toilet
, ,
forget forget
about about
the the
toilet toilet
. .
And and
for for
some some
reason reason
that that
day day
, ,
instead instead
, ,
I i
asked ask
myself myself
a a
question question
, ,
and and
it it
was be
, ,
where where
does do
this this
stuff stuff
go go
? ?
And and
with with
that that
question question
, ,
I i
found find
myself myself
plunged plunge
into into
the the
world world
of of
sanitation sanitation
— -
there there
' '
s s
more more
coming come
— -
— -
sanitation sanitation
, ,
toilets toilet
and and
poop poop
, ,
and and
I i
have have
yet yet
to to
emerge emerge
. .
And and
that that
' '
s s
because because
it it
' '
s s
such such
an an
enraging enrage
, ,
yet yet
engaging engage
place place
to to
be be
. .
To to
go go
back back
to to
that that
toilet toilet
, ,
it it
wasn wasn
' '
t t
a a
particularly particularly
fancy fancy
toilet toilet
, ,
it it
wasn wasn
' '
t t
as as
nice nice
as as
this this
one one
from from
the the
World world
Toilet toilet
Organization organization
. .
That that
' '
s s
the the
other other
WTO wto
. .
But but
it it
had have
a a
lockable lockable
door door
, ,
it it
had have
privacy privacy
, ,
it it
had have
water water
, ,
it it
had have
soap soap
so so
I i
could could
wash wash
my my
hands hand
, ,
and and
I i
did do
because because
I i
' '
m m
a a
woman woman
, ,
and and
we we
do do
that that
. .
But but
that that
day day
, ,
when when
I i
asked ask
that that
question question
, ,
I i
learned learn
something something
, ,
and and
that that
was be
that that
I i
' '
d d
grown grow
up up
thinking think
that that
a a
toilet toilet
like like
that that
was be
my my
right right
, ,
when when
in in
fact fact
it it
' '
s s
a a
privilege privilege
. .
2 2
. .
5 @card@
billion billion
people people
worldwide worldwide
have have
no no
adequate adequate
toilet toilet
. .
They they
don don
' '
t t
have have
a a
bucket bucket
or or
a a
box box
. .
Forty forty
percent percent
of of
the the
world world
with with
no no
adequate adequate
toilet toilet
. .
And and
they they
have have
to to
do do
what what
this this
little little
boy boy
is be
doing do
by by
the the
side side
of of
the the
Mumbai mumbai
Airport airport
expressway expressway
, ,
which which
is be
called call
open open
defecation defecation
, ,
or or
poo-pooing poo-pooing
in in
the the
open open
. .
And and
he he
does do
that that
every every
day day
, ,
and and
every every
day day
, ,
probably probably
, ,
that that
guy guy
in in
the the
picture picture
walks walk
on on
by by
, ,
because because
he he
sees see
that that
little little
boy boy
, ,
but but
he he
doesn doesn
' '
t t
see see
him him
. .
But but
he he
should should
, ,
because because
the the
problem problem
with with
all all
that that
poop poop
lying lie
around around
is be
that that
poop poop
carries carry
passengers passenger
. .
Fifty fifty
communicable communicable
diseases disease
like like
to to
travel travel
in in
human human
shit shit
. .
All all
those those
