There there
' '
s s
a a
big big
question question
at at
the the
center center
of of
life life
in in
our our
democracies democracy
today today
: :
How how
do do
we we
fight fight
terror terror
without without
destroying destroy
democracies democracy
, ,
without without
trampling trample
human human
rights right
? ?
I i
' '
ve ve
spent spend
much much
of of
my my
career career
working work
with with
journalists journalist
, ,
with with
bloggers blogger
, ,
with with
activists activist
, ,
with with
human human
rights right
researchers researcher
all all
around around
the the
world world
, ,
and and
I i
' '
ve ve
come come
to to
the the
conclusion conclusion
that that
if if
our our
democratic democratic
societies society
do do
not not
double double
down down
on on
protecting protect
and and
defending defend
human human
rights right
, ,
freedom freedom
of of
the the
press press
and and
a a
free free
and and
open open
internet internet
, ,
radical radical
extremist extremist
ideologies ideology
are be
much much
more more
likely likely
to to
persist persist
. .
OK ok
, ,
all all
done do
. .
Thank thank
you you
very very
much much
. .
No no
, ,
just just
joking joke
. .
I i
actually actually
want want
to to
drill drill
down down
on on
this this
a a
little little
bit bit
. .
So so
, ,
one one
of of
the the
countries country
that that
has have
been be
on on
the the
frontlines frontline
of of
this this
issue issue
is be
Tunisia tunisia
, ,
which which
was be
the the
only only
country country
to to
come come
out out
of of
the the
Arab arab
Spring spring
with with
a a
successful successful
democratic democratic
revolution revolution
. .
Five five
years year
later later
, ,
they they
' '
re re
struggling struggle
with with
serious serious
terror terror
attacks attack
and and
rampant rampant
ISIS isis
recruitment recruitment
. .
And and
many many
Tunisians tunisian
are be
calling call
on on
their their
government government
to to
do do
whatever whatever
it it
takes take
to to
keep keep
them them
safe safe
. .
Tunisian tunisian
cartoonist cartoonist
Nadia nadia
Khiari khiari
has have
summed sum
up up
the the
situation situation
with with
this this
character character
who who
says say
, ,
" "
I i
don don
' '
t t
give give
a a
damn damn
about about
human human
rights right
. .
I i
don don
' '
t t
give give
a a
damn damn
about about
the the
revolution revolution
. .
I i
don don
' '
t t
give give
a a
damn damn
about about
democracy democracy
and and
liberty liberty
. .
I i
just just
want want
to to
be be
safe safe
. .
" "
" "
Satisfied satisfy
? ?
" "
asked ask
his his
jailer jailer
. .
" "
You you
' '
re re
safe safe
now now
. .
" "
If if
the the
Tunisian tunisian
people people
can can
figure figure
out out
how how
to to
deal deal
with with
their their
terrorism terrorism
problem problem
without without
ending end
up up
in in
this this
place place
, ,
they they
will will
be be
a a
model model
not not
only only
for for
their their
region region
, ,
but but
for for
all all
of of
us us
. .
The the
reality reality
is be
that that
civil civil
society society
, ,
journalists journalist
and and
activists activist
are be
coming come
under under
attack attack
from from
extremist extremist
groups group
on on
the the
one one
hand hand
, ,
and and
, ,
in in
many many
countries country
, ,
also also
from from
their their
own own
governments government
. .
We we
' '
re re
seeing see
bloggers blogger
and and
journalists journalist
being be
jailed jail
, ,
charged charge
and and
intimidated intimidate
by by
their their
own own
governments government
, ,
many many
of of
which which
are be
allies ally
with with
the the
West west
in in
the the
war war
on on
terror terror
. .
Just just
three three
examples example
. .
A a
friend friend
and and
former former
colleague colleague
of of
mine mine
