[	SYM	[
SHIT	NN	shit
]	SYM	]
This	DT	this
is	VBZ	be
arguably	RB	arguably
the	DT	the
back	JJ	back
end	NN	end
of	IN	of
the	DT	the
design	NN	design
of	IN	of
animals	NNS	animal
.	SENT	.
But	CC	but
the	DT	the
reason	NN	reason
I	PP	I
put	VBD	put
this	DT	this
up	RB	up
here	RB	here
is	VBZ	be
because	IN	because
when	WRB	when
I	PP	I
was	VBD	be
in	IN	in
Africa	NP	Africa
last	JJ	last
year	NN	year
,	,	,
my	PP$	my
wife	NN	wife
and	CC	and
I	PP	I
were	VBD	be
driving	VBG	drive
around	RP	around
,	,	,
we	PP	we
had	VBD	have
this	DT	this
wonderful	JJ	wonderful
guide	NN	guide
,	,	,
who	WP	who
showed	VBD	show
us	PP	us
something	NN	something
that	WDT	that
surprised	VBD	surprise
both	DT	both
of	IN	of
us	PP	us
,	,	,
and	CC	and
it	PP	it
was	VBD	be
very	RB	very
revealing	VBG	reveal
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
fascination	NN	fascination
that	WDT	that
comes	VBZ	come
with	IN	with
the	DT	the
design	NN	design
of	IN	of
animals	NNS	animal
.	SENT	.
It	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
in	IN	in
about	IN	about
the	DT	the
1880s	NP	<unknown>
,	,	,
the	DT	the
missionaries	NNS	missionary
came	VBD	come
to	TO	to
Africa	NP	Africa
to	TO	to
spread	VB	spread
the	DT	the
word	NN	word
of	IN	of
Christianity	NN	Christianity
,	,	,
to	TO	to
teach	VB	teach
English	JJ	English
to	TO	to
the	DT	the
natives	NNS	native
.	SENT	.
And	CC	and
they	PP	they
brought	VBD	bring
blackboards	NNS	blackboard
and	CC	and
chalk	NN	chalk
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
d	NN	d
like	IN	like
you	PP	you
to	TO	to
imagine	VB	imagine
that	IN	that
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
blackboard	NN	blackboard
,	,	,
and	CC	and
I	PP	I
just	RB	just
used	VBD	use
some	DT	some
chalk	NN	chalk
on	IN	on
there	RB	there
.	SENT	.
And	CC	and
they	PP	they
brought	VBD	bring
quite	PDT	quite
a	DT	a
bit	NN	bit
of	IN	of
this	DT	this
stuff	NN	stuff
.	SENT	.
But	CC	but
over	IN	over
the	DT	the
years	NNS	year
,	,	,
the	DT	the
blackboards	NNS	blackboard
were	VBD	be
fine	JJ	fine
,	,	,
but	CC	but
they	PP	they
ran	VBD	run
out	RP	out
of	IN	of
chalk	NN	chalk
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
real	JJ	real
crisis	NN	crisis
for	IN	for
them	PP	them
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
hyena	NN	hyena
comes	VBZ	come
in	IN	in
.	SENT	.
The	DT	the
hyena	NN	hyena
is	VBZ	be
probably	RB	probably
the	DT	the
most	RBS	most
perfectly	RB	perfectly
designed	VBN	design
scavenging	VBG	scavenge
animal	NN	animal
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
It	PP	it
strip-mines	VBZ	strip-mine
carcasses	NNS	carcass
,	,	,
and	CC	and
it	PP	it
has	VBZ	have
amazing	JJ	amazing
teeth	NNS	tooth
,	,	,
because	IN	because
it	PP	it
enables	VBZ	enable
the	DT	the
hyena	NN	hyena
to	TO	to
essentially	RB	essentially
eat	VB	eat
bones	NNS	bone
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
end	NN	end
product	NN	product
of	IN	of
that	DT	that
action	NN	action
is	VBZ	be
up	RB	up
on	IN	on
the	DT	the
board	NN	board
here	RB	here
.	SENT	.
What	WP	what
the	DT	the
missionaries	NNS	missionary
would	MD	would
do	VB	do
is	VBZ	be
,	,	,
they	PP	they
'	POS	'
d	NN	d
walk	VB	walk
around	RP	around
and	CC	and
they	PP	they
'	POS	'
d	NN	d
pick	VB	pick
up	RP	up
hyena	NN	hyena
shit	NN	shit
.	SENT	.
And	CC	and
the	DT	the
incredible	JJ	incredible
thing	NN	thing
about	IN	about
hyena	NN	hyena
shit	NN	shit
is	VBZ	be
,	,	,
it	PP	it
makes	VBZ	make
great	JJ	great
chalk	NN	chalk
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
not	RB	not
what	WP	what
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
about	RB	about
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
fascinating	JJ	fascinating
aspect	NN	aspect
of	IN	of
animal	JJ	animal
design	NN	design
.	SENT	.
What	WP	what
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
talk	VB	talk
about	RB	about
is	VBZ	be
the	DT	the
camel	NN	camel
.	SENT	.
When	WRB	when
I	PP	I
started	VBD	start
talking	VBG	talk
to	TO	to
Richard	NP	Richard
about	IN	about
what	WP	what
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
speak	VB	speak
about	RB	about
,	,	,
I	PP	I
had	VBD	have
recently	RB	recently
come	VBN	come
back	RB	back
from	IN	from
Jordan	NP	Jordan
,	,	,
where	WRB	where
I	PP	I
had	VBD	have
an	DT	an
amazing	JJ	amazing
experience	NN	experience
with	IN	with
a	DT	a
camel	NN	camel
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
in	IN	in
the	DT	the
desert	NN	desert
.	SENT	.
Richard	NP	Richard
Wurman	NP	Wurman
:	:	:
That	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
end	NN	end
!	SENT	!
Keith	NP	Keith
Bellows	NP	Bellows
:	:	:
Yeah	RB	yeah
,	,	,
yeah	RB	yeah
.	SENT	.
We	PP	we
were	VBD	be
in	IN	in
the	DT	the
desert	NN	desert
,	,	,
in	IN	in
Wadi	NN	wadi
Rum	NN	rum
,	,	,
in	IN	in
a	DT	a
small	JJ	small
Jeep	NN	jeep
.	SENT	.
There	EX	there
were	VBD	be
four	CD	four
of	IN	of
us	PP	us
,	,	,
two	CD	two
Bedouin	NN	Bedouin
drivers	NNS	driver
.	SENT	.
You	PP	you
can	MD	can
just	RB	just
imagine	VB	imagine
,	,	,
this	DT	this
expanse	NN	expanse
is	VBZ	be
an	DT	an
ocean	NN	ocean
of	IN	of
sand	NN	sand
,	,	,
105	CD	@card@
degrees	NNS	degree
,	,	,
one	CD	one
water	NN	water
bottle	NN	bottle
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
driving	VBG	drive
in	IN	in
what	WP	what
they	PP	they
told	VBD	tell
us	PP	us
was	VBD	be
their	PP$	their
very	JJ	very
,	,	,
very	RB	very
best	JJS	good
Jeep	NN	jeep
.	SENT	.
Didn	NP	<unknown>
'	POS	'
t	NN	t
look	NN	look
like	IN	like
it	PP	it
to	TO	to
me	PP	me
.	SENT	.
And	CC	and
as	IN	as
we	PP	we
started	VBD	start
to	TO	to
go	VB	go
through	IN	through
the	DT	the
desert	NN	desert
,	,	,
the	DT	the
Jeep	NN	jeep
broke	VBD	break
down	RP	down
.	SENT	.
The	DT	the
guys	NNS	guy
got	VBD	get
out	RP	out
,	,	,
they	PP	they
put	VBD	put
the	DT	the
hood	NN	hood
up	RB	up
,	,	,
they	PP	they
started	VBD	start
working	VBG	work
under	IN	under
the	DT	the
hood	NN	hood
,	,	,
got	VBD	get
it	PP	it
going	VBG	go
again	RB	again
.	SENT	.
About	IN	about
a	DT	a
hundred	CD	hundred
yards	NNS	yard
,	,	,
it	PP	it
broke	VBD	break
down	RP	down
.	SENT	.
This	DT	this
went	VBD	go
on	IN	on
about	RB	about
6-7	CD	@card@
times	NNS	time
,	,	,
we	PP	we
were	VBD	be
getting	VBG	get
more	RBR	more
and	CC	and
more	RBR	more
alarmed	JJ	alarmed
,	,	,
we	PP	we
were	VBD	be
also	RB	also
getting	VBG	get
deeper	JJR	deep
and	CC	and
deeper	JJR	deep
into	IN	into
the	DT	the
desert	NN	desert
.	SENT	.
And	CC	and
eventually	RB	eventually
,	,	,
our	PP$	our
worst	JJS	bad
nightmare	NN	nightmare
happened	VBD	happen
:	:	:
they	PP	they
flooded	VBD	flood
the	DT	the
engine	NN	engine
.	SENT	.
And	CC	and
they	PP	they
said	VBD	say
,	,	,
"	``	"
Ah	UH	ah
,	,	,
no	DT	no
problem	NN	problem
!	SENT	!
We	PP	we
just	RB	just
get	VB	get
out	RP	out
and	CC	and
walk	VB	walk
.	SENT	.
"	``	"
And	CC	and
we	PP	we
said	VBD	say
,	,	,
"	``	"
We	PP	we
get	VBP	get
out	RP	out
and	CC	and
walk	VB	walk
?	SENT	?
"	''	"
One	CD	one
water	NN	water
bottle	NN	bottle
,	,	,
remember	VB	remember
,	,	,
guys	NNS	guy
,	,	,
four	CD	four
people	NNS	people
.	SENT	.
And	CC	and
they	PP	they
said	VBD	say
,	,	,
"	``	"
Yeah	RB	yeah
,	,	,
yeah	RB	yeah
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
walk	VBP	walk
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
find	VBP	find
some	DT	some
camels	NNS	camel
.	SENT	.
"	''	"
We	PP	we
got	VBD	get
out	RP	out
and	CC	and
walked	VBD	walk
,	,	,
and	CC	and
sure	RB	sure
enough	RB	enough
,	,	,
about	RB	about
half	PDT	half
a	DT	a
mile	NN	mile
,	,	,
we	PP	we
came	VBD	come
over	IN	over
the	DT	the
crest	NN	crest
of	IN	of
this	DT	this
hill	NN	hill
,	,	,
and	CC	and
there	EX	there
was	VBD	be
a	DT	a
huge	JJ	huge
gathering	NN	gathering
of	IN	of
Bedouin	NNS	Bedouin
with	IN	with
their	PP$	their
camels	NNS	camel
.	SENT	.
The	DT	the
guy	NN	guy
went	VBD	go
up	RP	up
and	CC	and
started	VBD	start
dickering	VBG	dicker
,	,	,
and	CC	and
10	CD	@card@
dollars	NNS	dollar
later	RBR	later
,	,	,
we	PP	we
had	VBD	have
four	CD	four
camels	NNS	camel
.	SENT	.
They	PP	they
went	VBD	go
down	RP	down
like	IN	like
elevators	NNS	elevator
;	:	;
we	PP	we
got	VBD	get
on	IN	on
them	PP	them
.	SENT	.
They	PP	they
went	VBD	go
back	RB	back
up	RB	up
,	,	,
and	CC	and
the	DT	the
Bedouin	NN	Bedouin
,	,	,
each	DT	each
Bedouin	NN	Bedouin
,	,	,
four	CD	four
of	IN	of
them	PP	them
,	,	,
got	VBN	get
behind	IN	behind
each	DT	each
of	IN	of
the	DT	the
camels	NNS	camel
with	IN	with
a	DT	a
little	JJ	little
whip	NN	whip
.	SENT	.
And	CC	and
they	PP	they
started	VBD	start
slashing	VBG	slash
away	RB	away
at	IN	at
the	DT	the
back	NN	back
of	IN	of
the	DT	the
camels	NNS	camel
,	,	,
and	CC	and
they	PP	they
started	VBD	start
galloping	VBG	gallop
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
ever	RB	ever
been	VBN	be
on	IN	on
a	DT	a
camel	NN	camel
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
very	RB	very
,	,	,
very	RB	very
uncomfortable	JJ	uncomfortable
ride	NN	ride
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
also	RB	also
one	CD	one
other	JJ	other
aspect	NN	aspect
about	IN	about
these	DT	these
camels	NNS	camel
.	SENT	.
About	IN	about
every	DT	every
10	CD	@card@
steps	NNS	step
,	,	,
they	PP	they
lean	VBP	lean
back	RB	back
and	CC	and
try	VB	try
to	TO	to
take	VB	take
a	DT	a
chunk	NN	chunk
out	RP	out
of	IN	of
your	PP$	your
leg	NN	leg
.	SENT	.
So	RB	so
we	PP	we
kept	VBD	keep
on	IN	on
going	VBG	go
,	,	,
and	CC	and
this	DT	this
camel	NN	camel
kept	VBN	keep
on	IN	on
trying	VBG	try
to	TO	to
take	VB	take
a	DT	a
chunk	NN	chunk
out	RP	out
of	IN	of
my	PP$	my
leg	NN	leg
.	SENT	.
And	CC	and
eventually	RB	eventually
,	,	,
three	CD	three
miles	NNS	mile
later	RBR	later
,	,	,
we	PP	we
arrived	VBD	arrive
at	IN	at
our	PP$	our
destination	NN	destination
,	,	,
where	WRB	where
a	DT	a
Jeep	NN	jeep
was	VBD	be
supposed	VBN	suppose
to	TO	to
meet	VB	meet
us	PP	us
.	SENT	.
And	CC	and
the	DT	the
camels	NNS	camel
come	VBP	come
down	RB	down
again	RB	again
like	IN	like
elevators	NNS	elevator
,	,	,
we	PP	we
sort	VBP	sort
of	IN	of
clumsily	RB	clumsily
get	VB	get
off	RP	off
,	,	,
and	CC	and
they	PP	they
,	,	,
obviously	RB	obviously
,	,	,
try	VBP	try
to	TO	to
take	VB	take
another	DT	another
chunk	NN	chunk
out	RP	out
of	IN	of
my	PP$	my
leg	NN	leg
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
developed	VBD	develop
a	DT	a
very	RB	very
wonderful	JJ	wonderful
relationship	NN	relationship
with	IN	with
this	DT	this
creature	NN	creature
by	IN	by
this	DT	this
point	NN	point
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
realized	VBD	realize
that	IN	that
this	DT	this
is	VBZ	be
a	DT	a
mean	JJ	mean
son	NN	son
of	IN	of
a	DT	a
bitch	NN	bitch
.	SENT	.
And	CC	and
much	RB	much
meaner	JJR	mean
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
than	IN	than
the	DT	the
Bedouin	NNS	Bedouin
who	WP	who
greeted	VBD	greet
me	PP	me
and	CC	and
tried	VBD	try
to	TO	to
sell	VB	sell
me	PP	me
one	CD	one
of	IN	of
his	PP$	his
26	CD	@card@
daughters	NNS	daughter
to	TO	to
take	VB	take
back	RB	back
to	TO	to
the	DT	the
States	NPS	States
.	SENT	.
So	RB	so
as	IN	as
we	PP	we
talked	VBD	talk
,	,	,
Richard	NP	Richard
and	CC	and
I	NP	I
,	,	,
I	PP	I
said	VBD	say
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
maybe	RB	maybe
I	PP	I
should	MD	should
bring	VB	bring
a	DT	a
camel	NN	camel
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
best	JJS	good
designed	VBN	design
animal	NN	animal
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
"	''	"
He	PP	he
went	VBD	go
,	,	,
"	``	"
Nah	NP	Nah
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
want	VBP	want
to	TO	to
be	VB	be
bringing	VBG	bring
a	DT	a
camel	NN	camel
.	SENT	.
"	``	"
And	CC	and
you	PP	you
should	MD	should
be	VB	be
really	RB	really
glad	JJ	glad
we	PP	we
decided	VBD	decide
not	RB	not
to	TO	to
bring	VB	bring
the	DT	the
camel	NN	camel
.	SENT	.
So	RB	so
I	PP	I
did	VBD	do
the	DT	the
next	JJ	next
best	JJS	good
thing	NN	thing
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
Washington	NP	Washington
Zoo	NN	zoo
.	SENT	.
Richard	NP	Richard
said	VBD	say
,	,	,
"	``	"
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
get	VB	get
up	RP	up
close	JJ	close
and	CC	and
personal	JJ	personal
with	IN	with
this	DT	this
camel	NN	camel
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
inspect	VB	inspect
its	PP$	its
mouth	NN	mouth
,	,	,
look	NN	look
at	IN	at
its	PP$	its
teeth	NNS	tooth
.	SENT	.
